
Solution: Pl(h)     
            Endmember fractions:
            abh      an      
ab27        0.276    0.724
ab30        0.309    0.691
ab34        0.341    0.659
ab37        0.374    0.626
ab40        0.407    0.593
ab43        0.439    0.561
ab47        0.472    0.528
ab50        0.505    0.495
ab53        0.537    0.463
ab56        0.570    0.430
ab60        0.603    0.397
ab63        0.635    0.365
ab66        0.668    0.332
ab70        0.701    0.299
ab73        0.733    0.267
ab76        0.766    0.234
ab79        0.799    0.201
ab80        0.803    0.197

Solution: O(HP)     
            Endmember fractions:
            fo       fa      
fo87        0.876    0.124
fo90        0.909    0.091
fo94        0.942    0.058
fo97.5      0.975    0.025
fo99.1      0.991    0.009

Solution: Sp(HP)    
            Endmember fractions:
            sp       herc    
sp65        0.655    0.345
sp68        0.688    0.312
sp72        0.721    0.279
sp75        0.754    0.246
sp78        0.785    0.215

Solution: Opx(HP)   
            Endmember fractions:
            mgts     en       fs       * see footnotes 1 & 2
Op87__0     0.000    0.879    0.121
Op91__0     0.000    0.912    0.088
Op93__0     0.000    0.936    0.064
Op87__3     0.033    0.846    0.117
Op91__3     0.033    0.879    0.085
Op93__3     0.033    0.903    0.062
Op87__6     0.066    0.813    0.113
Op91__6     0.066    0.846    0.082
Op93__6     0.066    0.869    0.060
Op87__9     0.100    0.779    0.109
Op91__9     0.100    0.813    0.079
Op93__9     0.100    0.836    0.058
Op87_13     0.133    0.746    0.105
Op91_13     0.133    0.779    0.076
Op93_13     0.133    0.803    0.056
Op87_14     0.146    0.733    0.103
Op91_14     0.146    0.766    0.075
Op93_14     0.146    0.790    0.055

1 - Although the bulk composition of pseudocompounds for this solution is fixed,
 the proportions of its endmembers may vary due to respeciation.


2 - Proportions output here may sum to <1 because the ordered species
may have non-zero initial proportions.


Solution: Cpx(HP)   
            Endmember fractions:
            cats     jd       hed      di      
Cp_043_0    0.001    0.433    0.000    0.565
Cp_043_3    0.001    0.433    0.033    0.532
Cp_043_6    0.001    0.433    0.067    0.499
Cp_043_7    0.001    0.433    0.079    0.486
Cp_046_0    0.001    0.467    0.000    0.532
Cp_046_3    0.001    0.467    0.033    0.499
Cp_046_6    0.001    0.467    0.067    0.465
Cp_046_7    0.001    0.467    0.079    0.452
Cp_049_0    0.001    0.500    0.000    0.499
Cp_049_3    0.001    0.500    0.033    0.465
Cp_049_6    0.001    0.500    0.067    0.432
Cp_049_7    0.001    0.500    0.079    0.419
Cp_053_0    0.001    0.533    0.000    0.465
Cp_053_3    0.001    0.533    0.033    0.432
Cp_053_6    0.001    0.533    0.067    0.399
Cp_053_7    0.001    0.533    0.079    0.386
Cp_056_0    0.001    0.567    0.000    0.432
Cp_056_3    0.001    0.567    0.033    0.399
Cp_056_6    0.001    0.567    0.067    0.365
Cp_056_7    0.001    0.567    0.079    0.352
Cp_060_0    0.001    0.600    0.000    0.399
Cp_060_3    0.001    0.600    0.033    0.365
Cp_060_6    0.001    0.600    0.067    0.332
Cp_060_7    0.001    0.600    0.079    0.319
Cp_063_0    0.001    0.633    0.000    0.365
Cp_063_3    0.001    0.633    0.033    0.332
Cp_063_6    0.001    0.633    0.067    0.299
Cp_063_7    0.001    0.633    0.079    0.286
Cp_066_0    0.001    0.667    0.000    0.332
Cp_066_3    0.001    0.667    0.033    0.299
Cp_066_6    0.001    0.667    0.067    0.265
Cp_066_7    0.001    0.667    0.079    0.252
Cp_070_0    0.001    0.700    0.000    0.299
Cp_070_3    0.001    0.700    0.033    0.265
Cp_070_6    0.001    0.700    0.067    0.232
Cp_070_7    0.001    0.700    0.079    0.219
Cp_073_0    0.001    0.733    0.000    0.265
Cp_073_3    0.001    0.733    0.033    0.232
Cp_073_6    0.001    0.733    0.067    0.199
Cp_073_7    0.001    0.733    0.079    0.186
Cp_076_0    0.001    0.767    0.000    0.232
Cp_076_3    0.001    0.767    0.033    0.199
Cp_076_6    0.001    0.767    0.067    0.165
Cp_076_7    0.001    0.767    0.079    0.152
Cp_080_0    0.001    0.800    0.000    0.199
Cp_080_3    0.001    0.800    0.033    0.165
Cp_080_6    0.001    0.800    0.067    0.132
Cp_080_7    0.001    0.800    0.079    0.119
Cp_083_0    0.001    0.833    0.000    0.165
Cp_083_3    0.001    0.833    0.033    0.132
Cp_083_6    0.001    0.833    0.067    0.099
Cp_083_7    0.001    0.833    0.079    0.086
Cp_086_0    0.001    0.867    0.000    0.132
Cp_086_3    0.001    0.867    0.033    0.099
Cp_086_6    0.001    0.867    0.067    0.065
Cp_086_7    0.001    0.867    0.079    0.052
Cp_089_0    0.001    0.900    0.000    0.099
Cp_089_3    0.001    0.900    0.033    0.065
Cp_089_6    0.001    0.900    0.067    0.032
Cp_089_7    0.001    0.900    0.079    0.019
Cp_093_0    0.001    0.933    0.000    0.065
Cp_093_3    0.001    0.933    0.033    0.032
Cp_093_6    0.001    0.933    0.065    0.000
Cp_093_0    0.001    0.934    0.000    0.065
Cp_093_3    0.001    0.934    0.033    0.032
Cp_093_6    0.001    0.934    0.065    0.000
Cp_0_0_0    0.002    0.000    0.000    0.998
Cp_0_0_3    0.002    0.000    0.033    0.964
Cp_0_0_6    0.002    0.000    0.067    0.931
Cp_0_0_7    0.002    0.000    0.079    0.918
Cp_0_3_0    0.002    0.033    0.000    0.964
Cp_0_3_3    0.002    0.033    0.033    0.931
Cp_0_3_6    0.002    0.033    0.067    0.898
Cp_0_3_7    0.002    0.033    0.079    0.885
Cp_0_6_0    0.002    0.067    0.000    0.931
Cp_0_6_3    0.002    0.067    0.033    0.898
Cp_0_6_6    0.002    0.067    0.067    0.864
Cp_0_6_7    0.002    0.067    0.079    0.851
Cp_010_0    0.002    0.100    0.000    0.898
Cp_010_3    0.002    0.100    0.033    0.864
Cp_010_6    0.002    0.100    0.067    0.831
Cp_010_7    0.002    0.100    0.079    0.818
Cp_013_0    0.002    0.133    0.000    0.864
Cp_013_3    0.002    0.133    0.033    0.831
Cp_013_6    0.002    0.133    0.067    0.798
Cp_013_7    0.002    0.133    0.079    0.785
Cp_016_0    0.002    0.167    0.000    0.831
Cp_016_3    0.002    0.167    0.033    0.798
Cp_016_6    0.002    0.167    0.067    0.764
Cp_016_7    0.002    0.167    0.079    0.751
Cp_020_0    0.002    0.200    0.000    0.798
Cp_020_3    0.002    0.200    0.033    0.764
Cp_020_6    0.002    0.200    0.067    0.731
Cp_020_7    0.002    0.200    0.079    0.718
Cp_023_0    0.002    0.233    0.000    0.764
Cp_023_3    0.002    0.233    0.033    0.731
