
Solution: Pl(h)     
            Endmember fractions:
            abh      an      
ab11        0.116    0.884
ab14        0.148    0.852
ab18        0.181    0.819
ab21        0.214    0.786
ab24        0.246    0.754
ab27        0.279    0.721
ab31        0.312    0.688
ab34        0.344    0.656
ab37        0.377    0.623
ab40        0.410    0.590
ab44        0.442    0.558
ab47        0.475    0.525
ab50        0.508    0.492
ab52        0.524    0.476

Solution: O(HP)     
            Endmember fractions:
            fo       fa      
fo88        0.884    0.116
fo91        0.917    0.083
fo94        0.949    0.051
fo96.4      0.964    0.036

Solution: Sp(HP)    
            Endmember fractions:
            sp       herc    
sp78        0.789    0.211
sp80        0.809    0.191

Solution: Opx(HP)   
            Endmember fractions:
            mgts     en       fs       * see footnotes 1 & 2
Op90__0     0.000    0.904    0.096
Op93__0     0.000    0.938    0.062
Op94__0     0.000    0.943    0.057
Op90__3     0.033    0.871    0.092
Op93__3     0.033    0.904    0.060
Op94__3     0.033    0.910    0.055
Op90__6     0.066    0.838    0.089
Op93__6     0.066    0.871    0.058
Op94__6     0.066    0.877    0.053
Op90__9     0.100    0.805    0.086
Op93__9     0.100    0.838    0.056
Op94__9     0.100    0.844    0.051
Op90_13     0.133    0.772    0.083
Op93_13     0.133    0.805    0.054
Op94_13     0.133    0.811    0.049
Op90_16     0.166    0.739    0.080
Op93_16     0.166    0.772    0.052
Op94_16     0.166    0.778    0.047
Op90_17     0.173    0.731    0.079
Op93_17     0.173    0.764    0.052
Op94_17     0.173    0.770    0.047

1 - Although the bulk composition of pseudocompounds for this solution is fixed,
 the proportions of its endmembers may vary due to respeciation.


2 - Proportions output here may sum to <1 because the ordered species
may have non-zero initial proportions.


Solution: Cpx(HP)   
            Endmember fractions:
            cats     jd       hed      di      
Cp_010_7    0.004    0.102    0.075    0.819
Cp_013_0    0.004    0.135    0.006    0.855
Cp_013_3    0.004    0.135    0.039    0.821
Cp_013_7    0.004    0.135    0.073    0.788
Cp_013_7    0.004    0.135    0.075    0.786
Cp_016_0    0.004    0.169    0.006    0.821
Cp_016_3    0.004    0.169    0.039    0.788
Cp_016_7    0.004    0.169    0.073    0.755
Cp_016_7    0.004    0.169    0.075    0.752
Cp_018_0    0.004    0.183    0.006    0.807
Cp_018_3    0.004    0.183    0.039    0.774
Cp_018_7    0.004    0.183    0.073    0.741
Cp_018_7    0.004    0.183    0.075    0.738
Cp_0_0_0    0.005    0.002    0.006    0.987
Cp_0_0_3    0.005    0.002    0.039    0.953
Cp_0_0_7    0.005    0.002    0.073    0.920
Cp_0_0_7    0.005    0.002    0.075    0.917
Cp_0_3_0    0.005    0.035    0.006    0.953
Cp_0_3_3    0.005    0.035    0.039    0.920
Cp_0_3_7    0.005    0.035    0.073    0.887
Cp_0_3_7    0.005    0.035    0.075    0.884
Cp_0_6_0    0.005    0.069    0.006    0.920
Cp_0_6_3    0.005    0.069    0.039    0.887
Cp_0_6_7    0.005    0.069    0.073    0.853
Cp_0_6_7    0.005    0.069    0.075    0.851
Cp_010_0    0.005    0.102    0.006    0.887
Cp_010_3    0.005    0.102    0.039    0.853
Cp_010_7    0.005    0.102    0.073    0.820
Cp_010_7    0.005    0.102    0.075    0.817
Cp_013_0    0.005    0.135    0.006    0.853
Cp_013_3    0.005    0.135    0.039    0.820
Cp_013_7    0.005    0.135    0.073    0.787
Cp_013_7    0.005    0.135    0.075    0.784
Cp_016_0    0.005    0.169    0.006    0.820
Cp_016_3    0.005    0.169    0.039    0.787
Cp_016_7    0.005    0.169    0.073    0.753
Cp_016_7    0.005    0.169    0.075    0.751
Cp_018_0    0.005    0.183    0.006    0.806
Cp_018_3    0.005    0.183    0.039    0.773
Cp_018_7    0.005    0.183    0.073    0.739
Cp_018_7    0.005    0.183    0.075    0.737
Cp_0_0_0    0.007    0.002    0.006    0.985
Cp_0_0_3    0.007    0.002    0.039    0.952
Cp_0_0_7    0.007    0.002    0.073    0.918
Cp_0_0_7    0.007    0.002    0.075    0.916
Cp_0_3_0    0.007    0.035    0.006    0.952
Cp_0_3_3    0.007    0.035    0.039    0.918
Cp_0_3_7    0.007    0.035    0.073    0.885
Cp_0_3_7    0.007    0.035    0.075    0.882
Cp_0_6_0    0.007    0.069    0.006    0.918
Cp_0_6_3    0.007    0.069    0.039    0.885
Cp_0_6_7    0.007    0.069    0.073    0.852
Cp_0_6_7    0.007    0.069    0.075    0.849
Cp_010_0    0.007    0.102    0.006    0.885
Cp_010_3    0.007    0.102    0.039    0.852
Cp_010_7    0.007    0.102    0.073    0.818
Cp_010_7    0.007    0.102    0.075    0.816
Cp_013_0    0.007    0.135    0.006    0.852
Cp_013_3    0.007    0.135    0.039    0.818
Cp_013_7    0.007    0.135    0.073    0.785
Cp_013_7    0.007    0.135    0.075    0.782
Cp_016_0    0.007    0.169    0.006    0.818
Cp_016_3    0.007    0.169    0.039    0.785
Cp_016_7    0.007    0.169    0.073    0.752
Cp_016_7    0.007    0.169    0.075    0.749
Cp_018_0    0.007    0.183    0.006    0.804
Cp_018_3    0.007    0.183    0.039    0.771
Cp_018_7    0.007    0.183    0.073    0.738
Cp_018_7    0.007    0.183    0.075    0.735
Cp_0_0_0    0.009    0.002    0.006    0.983
Cp_0_0_3    0.009    0.002    0.039    0.950
Cp_0_0_7    0.009    0.002    0.073    0.916
Cp_0_0_7    0.009    0.002    0.075    0.914
Cp_0_3_0    0.009    0.035    0.006    0.950
Cp_0_3_3    0.009    0.035    0.039    0.916
Cp_0_3_7    0.009    0.035    0.073    0.883
Cp_0_3_7    0.009    0.035    0.075    0.881
Cp_0_6_0    0.009    0.069    0.006    0.916
Cp_0_6_3    0.009    0.069    0.039    0.883
Cp_0_6_7    0.009    0.069    0.073    0.850
Cp_0_6_7    0.009    0.069    0.075    0.847
Cp_010_0    0.009    0.102    0.006    0.883
Cp_010_3    0.009    0.102    0.039    0.850
Cp_010_7    0.009    0.102    0.073    0.816
Cp_010_7    0.009    0.102    0.075    0.814
Cp_013_0    0.009    0.135    0.006    0.850
Cp_013_3    0.009    0.135    0.039    0.816
Cp_013_7    0.009    0.135    0.073    0.783
Cp_013_7    0.009    0.135    0.075    0.781
Cp_016_0    0.009    0.169    0.006    0.816
Cp_016_3    0.009    0.169    0.039    0.783
Cp_016_7    0.009    0.169    0.073    0.750
Cp_016_7    0.009    0.169    0.075    0.747
Cp_018_0    0.009    0.183    0.006    0.802
Cp_018_3    0.009    0.183    0.039    0.769
Cp_018_7    0.009    0.183    0.073    0.736
Cp_018_7    0.009    0.183    0.075    0.733
Cp_1_0_0    0.011    0.002    0.006    0.981
Cp_1_0_3    0.011    0.002    0.039    0.947
Cp_1_0_7    0.011    0.002    0.073    0.914
Cp_1_0_7    0.011    0.002    0.075    0.912
Cp_1_3_0    0.011    0.035    0.006    0.947
Cp_1_3_3    0.011    0.035    0.039    0.914
Cp_1_3_7    0.011    0.035    0.073    0.881
Cp_1_3_7    0.011    0.035    0.075    0.878
Cp_1_6_0    0.011    0.069    0.006    0.914
Cp_1_6_3    0.011    0.069    0.039    0.881
Cp_1_6_7    0.011    0.069    0.073    0.847
Cp_1_6_7    0.011    0.069    0.075    0.845
Cp_110_0    0.011    0.102    0.006    0.881
Cp_110_3    0.011    0.102    0.039    0.847
Cp_110_7    0.011    0.102    0.073    0.814
Cp_110_7    0.011    0.102    0.075    0.812
Cp_113_0    0.011    0.135    0.006    0.847
Cp_113_3    0.011    0.135    0.039    0.814
Cp_113_7    0.011    0.135    0.073    0.781
Cp_113_7    0.011    0.135    0.075    0.778
Cp_116_0    0.011    0.169    0.006    0.814
Cp_116_3    0.011    0.169    0.039    0.781
Cp_116_7    0.011    0.169    0.073    0.747
Cp_116_7    0.011    0.169    0.075    0.745
Cp_118_0    0.011    0.183    0.006    0.800
Cp_118_3    0.011    0.183    0.039    0.767
Cp_118_7    0.011    0.183    0.073    0.733
Cp_118_7    0.011    0.183    0.075    0.731
Cp_1_0_0    0.014    0.002    0.006    0.978
Cp_1_0_3    0.014    0.002    0.039    0.945
Cp_1_0_7    0.014    0.002    0.073    0.911
Cp_1_0_7    0.014    0.002    0.075    0.909
Cp_1_3_0    0.014    0.035    0.006    0.945
Cp_1_3_3    0.014    0.035    0.039    0.911
Cp_1_3_7    0.014    0.035    0.073    0.878
Cp_1_3_7    0.014    0.035    0.075    0.876
Cp_1_6_0    0.014    0.069    0.006    0.911
Cp_1_6_3    0.014    0.069    0.039    0.878
Cp_1_6_7    0.014    0.069    0.073    0.845
Cp_1_6_7    0.014    0.069    0.075    0.842
Cp_110_0    0.014    0.102    0.006    0.878
Cp_110_3    0.014    0.102    0.039    0.845
Cp_110_7    0.014    0.102    0.073    0.811
Cp_110_7    0.014    0.102    0.075    0.809
Cp_113_0    0.014    0.135    0.006    0.845
Cp_113_3    0.014    0.135    0.039    0.811
Cp_113_7    0.014    0.135    0.073    0.778
Cp_113_7    0.014    0.135    0.075    0.776
Cp_116_0    0.014    0.169    0.006    0.811
Cp_116_3    0.014    0.169    0.039    0.778
Cp_116_7    0.014    0.169    0.073    0.745
Cp_116_7    0.014    0.169    0.075    0.742
Cp_118_0    0.014    0.183    0.006    0.797
Cp_118_3    0.014    0.183    0.039    0.764
Cp_118_7    0.014    0.183    0.073    0.731
Cp_118_7    0.014    0.183    0.075    0.728
Cp_1_0_0    0.017    0.002    0.006    0.975
Cp_1_0_3    0.017    0.002    0.039    0.942
Cp_1_0_7    0.017    0.002    0.073    0.908
Cp_1_0_7    0.017    0.002    0.075    0.906
Cp_1_3_0    0.017    0.035    0.006    0.942
Cp_1_3_3    0.017    0.035    0.039    0.908
Cp_1_3_7    0.017    0.035    0.073    0.875
Cp_1_3_7    0.017    0.035    0.075    0.872
Cp_1_6_0    0.017    0.069    0.006    0.908
Cp_1_6_3    0.017    0.069    0.039    0.875
Cp_1_6_7    0.017    0.069    0.073    0.842
Cp_1_6_7    0.017    0.069    0.075    0.839
Cp_110_0    0.017    0.102    0.006    0.875
Cp_110_3    0.017    0.102    0.039    0.842
Cp_110_7    0.017    0.102    0.073    0.808
Cp_110_7    0.017    0.102    0.075    0.806
Cp_113_0    0.017    0.135    0.006    0.842
Cp_113_3    0.017    0.135    0.039    0.808
Cp_113_7    0.017    0.135    0.073    0.775
Cp_113_7    0.017    0.135    0.075    0.772
Cp_116_0    0.017    0.169    0.006    0.808
Cp_116_3    0.017    0.169    0.039    0.775
Cp_116_7    0.017    0.169    0.073    0.742
Cp_116_7    0.017    0.169    0.075    0.739
Cp_118_0    0.017    0.183    0.006    0.794
Cp_118_3    0.017    0.183    0.039    0.761
Cp_118_7    0.017    0.183    0.073    0.728
Cp_118_7    0.017    0.183    0.075    0.725
Cp_2_0_0    0.021    0.002    0.006    0.971
Cp_2_0_3    0.021    0.002    0.039    0.938
Cp_2_0_7    0.021    0.002    0.073    0.905
Cp_2_0_7    0.021    0.002    0.075    0.902
Cp_2_3_0    0.021    0.035    0.006    0.938
Cp_2_3_3    0.021    0.035    0.039    0.905
Cp_2_3_7    0.021    0.035    0.073    0.871
Cp_2_3_7    0.021    0.035    0.075    0.869
Cp_2_6_0    0.021    0.069    0.006    0.905
Cp_2_6_3    0.021    0.069    0.039    0.871
Cp_2_6_7    0.021    0.069    0.073    0.838
Cp_2_6_7    0.021    0.069    0.075    0.836
Cp_210_0    0.021    0.102    0.006    0.871
Cp_210_3    0.021    0.102    0.039    0.838
Cp_210_7    0.021    0.102    0.073    0.805
Cp_210_7    0.021    0.102    0.075    0.802
Cp_213_0    0.021    0.135    0.006    0.838
Cp_213_3    0.021    0.135    0.039    0.805
Cp_213_7    0.021    0.135    0.073    0.771
Cp_213_7    0.021    0.135    0.075    0.769
Cp_216_0    0.021    0.169    0.006    0.805
Cp_216_3    0.021    0.169    0.039    0.771
Cp_216_7    0.021    0.169    0.073    0.738
Cp_216_7    0.021    0.169    0.075    0.736
Cp_218_0    0.021    0.183    0.006    0.791
Cp_218_3    0.021    0.183    0.039    0.757
Cp_218_7    0.021    0.183    0.073    0.724
Cp_218_7    0.021    0.183    0.075    0.722
Cp_2_0_0    0.025    0.002    0.006    0.967
Cp_2_0_3    0.025    0.002    0.039    0.934
Cp_2_0_7    0.025    0.002    0.073    0.901
Cp_2_0_7    0.025    0.002    0.075    0.898
Cp_2_3_0    0.025    0.035    0.006    0.934
Cp_2_3_3    0.025    0.035    0.039    0.901
Cp_2_3_7    0.025    0.035    0.073    0.867
Cp_2_3_7    0.025    0.035    0.075    0.865
Cp_2_6_0    0.025    0.069    0.006    0.901
Cp_2_6_3    0.025    0.069    0.039    0.867
Cp_2_6_7    0.025    0.069    0.073    0.834
Cp_2_6_7    0.025    0.069    0.075    0.831
Cp_210_0    0.025    0.102    0.006    0.867
Cp_210_3    0.025    0.102    0.039    0.834
Cp_210_7    0.025    0.102    0.073    0.801
Cp_210_7    0.025    0.102    0.075    0.798
Cp_213_0    0.025    0.135    0.006    0.834
Cp_213_3    0.025    0.135    0.039    0.801
Cp_213_7    0.025    0.135    0.073    0.767
Cp_213_7    0.025    0.135    0.075    0.765
Cp_216_0    0.025    0.169    0.006    0.801
Cp_216_3    0.025    0.169    0.039    0.767
Cp_216_7    0.025    0.169    0.073    0.734
Cp_216_7    0.025    0.169    0.075    0.731
Cp_218_0    0.025    0.183    0.006    0.787
Cp_218_3    0.025    0.183    0.039    0.753
Cp_218_7    0.025    0.183    0.073    0.720
Cp_218_7    0.025    0.183    0.075    0.717
Cp_2_0_0    0.030    0.002    0.006    0.963
Cp_2_0_3    0.030    0.002    0.039    0.929
Cp_2_0_7    0.030    0.002    0.073    0.896
Cp_2_0_7    0.030    0.002    0.075    0.893
Cp_2_3_0    0.030    0.035    0.006    0.929
Cp_2_3_3    0.030    0.035    0.039    0.896
Cp_2_3_7    0.030    0.035    0.073    0.863
Cp_2_3_7    0.030    0.035    0.075    0.860
Cp_2_6_0    0.030    0.069    0.006    0.896
Cp_2_6_3    0.030    0.069    0.039    0.863
Cp_2_6_7    0.030    0.069    0.073    0.829
Cp_2_6_7    0.030    0.069    0.075    0.827
Cp_210_0    0.030    0.102    0.006    0.863
Cp_210_3    0.030    0.102    0.039    0.829
Cp_210_7    0.030    0.102    0.073    0.796
Cp_210_7    0.030    0.102    0.075    0.793
Cp_213_0    0.030    0.135    0.006    0.829
Cp_213_3    0.030    0.135    0.039    0.796
Cp_213_7    0.030    0.135    0.073    0.763
Cp_213_7    0.030    0.135    0.075    0.760
Cp_216_0    0.030    0.169    0.006    0.796
Cp_216_3    0.030    0.169    0.039    0.763
Cp_216_7    0.030    0.169    0.073    0.729
Cp_216_7    0.030    0.169    0.075    0.727
Cp_218_0    0.030    0.183    0.006    0.782
Cp_218_3    0.030    0.183    0.039    0.749
Cp_218_7    0.030    0.183    0.073    0.715
Cp_218_7    0.030    0.183    0.075    0.713
Cp_3_0_0    0.035    0.002    0.006    0.957
Cp_3_0_3    0.035    0.002    0.039    0.924
Cp_3_0_7    0.035    0.002    0.073    0.890
Cp_3_0_7    0.035    0.002    0.075    0.888
Cp_3_3_0    0.035    0.035    0.006    0.924
Cp_3_3_3    0.035    0.035    0.039    0.890
Cp_3_3_7    0.035    0.035    0.073    0.857
Cp_3_3_7    0.035    0.035    0.075    0.854
Cp_3_6_0    0.035    0.069    0.006    0.890
Cp_3_6_3    0.035    0.069    0.039    0.857
Cp_3_6_7    0.035    0.069    0.073    0.824
Cp_3_6_7    0.035    0.069    0.075    0.821
Cp_310_0    0.035    0.102    0.006    0.857
Cp_310_3    0.035    0.102    0.039    0.824
Cp_310_7    0.035    0.102    0.073    0.790
Cp_310_7    0.035    0.102    0.075    0.788
Cp_313_0    0.035    0.135    0.006    0.824
Cp_313_3    0.035    0.135    0.039    0.790
Cp_313_7    0.035    0.135    0.073    0.757
Cp_313_7    0.035    0.135    0.075    0.754
Cp_316_0    0.035    0.169    0.006    0.790
Cp_316_3    0.035    0.169    0.039    0.757
Cp_316_7    0.035    0.169    0.073    0.724
Cp_316_7    0.035    0.169    0.075    0.721
Cp_318_0    0.035    0.183    0.006    0.776
Cp_318_3    0.035    0.183    0.039    0.743
Cp_318_7    0.035    0.183    0.073    0.710
Cp_318_7    0.035    0.183    0.075    0.707
Cp_4_0_0    0.041    0.002    0.006    0.951
Cp_4_0_3    0.041    0.002    0.039    0.917
Cp_4_0_7    0.041    0.002    0.073    0.884
Cp_4_0_7    0.041    0.002    0.075    0.882
Cp_4_3_0    0.041    0.035    0.006    0.917
Cp_4_3_3    0.041    0.035    0.039    0.884
Cp_4_3_7    0.041    0.035    0.073    0.851
Cp_4_3_7    0.041    0.035    0.075    0.848
Cp_4_6_0    0.041    0.069    0.006    0.884
Cp_4_6_3    0.041    0.069    0.039    0.851
Cp_4_6_7    0.041    0.069    0.073    0.817
Cp_4_6_7    0.041    0.069    0.075    0.815
Cp_410_0    0.041    0.102    0.006    0.851
Cp_410_3    0.041    0.102    0.039    0.817
Cp_410_7    0.041    0.102    0.073    0.784
Cp_410_7    0.041    0.102    0.075    0.782
Cp_413_0    0.041    0.135    0.006    0.817
Cp_413_3    0.041    0.135    0.039    0.784
Cp_413_7    0.041    0.135    0.073    0.751
Cp_413_7    0.041    0.135    0.075    0.748
Cp_416_0    0.041    0.169    0.006    0.784
Cp_416_3    0.041    0.169    0.039    0.751
Cp_416_7    0.041    0.169    0.073    0.717
Cp_416_7    0.041    0.169    0.075    0.715
Cp_418_0    0.041    0.183    0.006    0.770
Cp_418_3    0.041    0.183    0.039    0.737
Cp_418_7    0.041    0.183    0.073    0.703
Cp_418_7    0.041    0.183    0.075    0.701
Cp_4_0_0    0.049    0.002    0.006    0.944
Cp_4_0_3    0.049    0.002    0.039    0.910
Cp_4_0_7    0.049    0.002    0.073    0.877
Cp_4_0_7    0.049    0.002    0.075    0.874
Cp_4_3_0    0.049    0.035    0.006    0.910
Cp_4_3_3    0.049    0.035    0.039    0.877
Cp_4_3_7    0.049    0.035    0.073    0.844
Cp_4_3_7    0.049    0.035    0.075    0.841
