
Solution: Pl(h)     
            Endmember fractions:
            abh      an      
ab11        0.115    0.885
ab14        0.148    0.852
ab18        0.181    0.819
ab21        0.213    0.787
ab24        0.246    0.754
ab27        0.279    0.721
ab31        0.311    0.689
ab34        0.344    0.656
ab37        0.377    0.623
ab40        0.409    0.591
ab44        0.442    0.558
ab47        0.475    0.525
ab50        0.507    0.493
ab53        0.535    0.465

Solution: O(HP)     
            Endmember fractions:
            fo       fa      
fo88        0.881    0.119
fo91        0.914    0.086
fo94        0.947    0.053
fo96.1      0.961    0.039

Solution: Sp(HP)    
            Endmember fractions:
            sp       herc    
sp78        0.789    0.211
sp80        0.808    0.192

Solution: Opx(HP)   
            Endmember fractions:
            mgts     en       fs       * see footnotes 1 & 2
Op90__0     0.000    0.904    0.096
Op93__0     0.000    0.938    0.062
Op94__0     0.000    0.945    0.055
Op90__3     0.033    0.871    0.092
Op93__3     0.033    0.904    0.060
Op94__3     0.033    0.912    0.053
Op90__6     0.066    0.838    0.089
Op93__6     0.066    0.871    0.058
Op94__6     0.066    0.878    0.052
Op90__9     0.100    0.805    0.086
Op93__9     0.100    0.838    0.056
Op94__9     0.100    0.845    0.050
Op90_13     0.133    0.772    0.083
Op93_13     0.133    0.805    0.054
Op94_13     0.133    0.812    0.048
Op90_16     0.166    0.739    0.080
Op93_16     0.166    0.772    0.052
Op94_16     0.166    0.779    0.046
Op90_17     0.178    0.726    0.078
Op93_17     0.178    0.759    0.051
Op94_17     0.178    0.766    0.045

1 - Although the bulk composition of pseudocompounds for this solution is fixed,
 the proportions of its endmembers may vary due to respeciation.


2 - Proportions output here may sum to <1 because the ordered species
may have non-zero initial proportions.


Solution: Cpx(HP)   
            Endmember fractions:
            cats     jd       hed      di      
Cp_0_3_3    0.001    0.035    0.039    0.925
Cp_0_3_7    0.001    0.035    0.073    0.892
Cp_0_3_7    0.001    0.035    0.076    0.888
Cp_0_6_0    0.001    0.068    0.006    0.925
Cp_0_6_3    0.001    0.068    0.039    0.892
Cp_0_6_7    0.001    0.068    0.073    0.858
Cp_0_6_7    0.001    0.068    0.076    0.855
Cp_010_0    0.001    0.102    0.006    0.892
Cp_010_3    0.001    0.102    0.039    0.858
Cp_010_7    0.001    0.102    0.073    0.825
Cp_010_7    0.001    0.102    0.076    0.822
Cp_013_0    0.001    0.135    0.006    0.858
Cp_013_3    0.001    0.135    0.039    0.825
Cp_013_7    0.001    0.135    0.073    0.792
Cp_013_7    0.001    0.135    0.076    0.788
Cp_016_0    0.001    0.168    0.006    0.825
Cp_016_3    0.001    0.168    0.039    0.792
Cp_016_7    0.001    0.168    0.073    0.758
Cp_016_7    0.001    0.168    0.076    0.755
Cp_020_0    0.001    0.202    0.006    0.792
Cp_020_3    0.001    0.202    0.039    0.758
Cp_020_7    0.001    0.202    0.073    0.725
Cp_020_7    0.001    0.202    0.076    0.722
Cp_020_0    0.001    0.207    0.006    0.787
Cp_020_3    0.001    0.207    0.039    0.753
Cp_020_7    0.001    0.207    0.073    0.720
Cp_020_7    0.001    0.207    0.076    0.717
Cp_0_0_0    0.002    0.002    0.006    0.991
Cp_0_0_3    0.002    0.002    0.039    0.957
Cp_0_0_7    0.002    0.002    0.073    0.924
Cp_0_0_7    0.002    0.002    0.076    0.921
Cp_0_3_0    0.002    0.035    0.006    0.957
Cp_0_3_3    0.002    0.035    0.039    0.924
Cp_0_3_7    0.002    0.035    0.073    0.891
Cp_0_3_7    0.002    0.035    0.076    0.887
Cp_0_6_0    0.002    0.068    0.006    0.924
Cp_0_6_3    0.002    0.068    0.039    0.891
Cp_0_6_7    0.002    0.068    0.073    0.857
Cp_0_6_7    0.002    0.068    0.076    0.854
Cp_010_0    0.002    0.102    0.006    0.891
Cp_010_3    0.002    0.102    0.039    0.857
Cp_010_7    0.002    0.102    0.073    0.824
Cp_010_7    0.002    0.102    0.076    0.821
Cp_013_0    0.002    0.135    0.006    0.857
Cp_013_3    0.002    0.135    0.039    0.824
Cp_013_7    0.002    0.135    0.073    0.791
Cp_013_7    0.002    0.135    0.076    0.787
Cp_016_0    0.002    0.168    0.006    0.824
Cp_016_3    0.002    0.168    0.039    0.791
Cp_016_7    0.002    0.168    0.073    0.757
Cp_016_7    0.002    0.168    0.076    0.754
Cp_020_0    0.002    0.202    0.006    0.791
Cp_020_3    0.002    0.202    0.039    0.757
Cp_020_7    0.002    0.202    0.073    0.724
Cp_020_7    0.002    0.202    0.076    0.721
Cp_020_0    0.002    0.207    0.006    0.786
Cp_020_3    0.002    0.207    0.039    0.752
Cp_020_7    0.002    0.207    0.073    0.719
Cp_020_7    0.002    0.207    0.076    0.716
Cp_0_0_0    0.003    0.002    0.006    0.990
Cp_0_0_3    0.003    0.002    0.039    0.956
Cp_0_0_7    0.003    0.002    0.073    0.923
Cp_0_0_7    0.003    0.002    0.076    0.920
Cp_0_3_0    0.003    0.035    0.006    0.956
Cp_0_3_3    0.003    0.035    0.039    0.923
Cp_0_3_7    0.003    0.035    0.073    0.890
Cp_0_3_7    0.003    0.035    0.076    0.886
Cp_0_6_0    0.003    0.068    0.006    0.923
Cp_0_6_3    0.003    0.068    0.039    0.890
Cp_0_6_7    0.003    0.068    0.073    0.856
Cp_0_6_7    0.003    0.068    0.076    0.853
Cp_010_0    0.003    0.102    0.006    0.890
Cp_010_3    0.003    0.102    0.039    0.856
Cp_010_7    0.003    0.102    0.073    0.823
Cp_010_7    0.003    0.102    0.076    0.820
Cp_013_0    0.003    0.135    0.006    0.856
Cp_013_3    0.003    0.135    0.039    0.823
Cp_013_7    0.003    0.135    0.073    0.790
Cp_013_7    0.003    0.135    0.076    0.786
Cp_016_0    0.003    0.168    0.006    0.823
Cp_016_3    0.003    0.168    0.039    0.790
Cp_016_7    0.003    0.168    0.073    0.756
Cp_016_7    0.003    0.168    0.076    0.753
Cp_020_0    0.003    0.202    0.006    0.790
Cp_020_3    0.003    0.202    0.039    0.756
Cp_020_7    0.003    0.202    0.073    0.723
Cp_020_7    0.003    0.202    0.076    0.720
Cp_020_0    0.003    0.207    0.006    0.785
Cp_020_3    0.003    0.207    0.039    0.751
Cp_020_7    0.003    0.207    0.073    0.718
Cp_020_7    0.003    0.207    0.076    0.715
Cp_0_0_0    0.004    0.002    0.006    0.988
Cp_0_0_3    0.004    0.002    0.039    0.955
Cp_0_0_7    0.004    0.002    0.073    0.922
Cp_0_0_7    0.004    0.002    0.076    0.918
Cp_0_3_0    0.004    0.035    0.006    0.955
Cp_0_3_3    0.004    0.035    0.039    0.922
Cp_0_3_7    0.004    0.035    0.073    0.888
Cp_0_3_7    0.004    0.035    0.076    0.885
Cp_0_6_0    0.004    0.068    0.006    0.922
Cp_0_6_3    0.004    0.068    0.039    0.888
Cp_0_6_7    0.004    0.068    0.073    0.855
Cp_0_6_7    0.004    0.068    0.076    0.852
Cp_010_0    0.004    0.102    0.006    0.888
Cp_010_3    0.004    0.102    0.039    0.855
Cp_010_7    0.004    0.102    0.073    0.822
Cp_010_7    0.004    0.102    0.076    0.818
Cp_013_0    0.004    0.135    0.006    0.855
Cp_013_3    0.004    0.135    0.039    0.822
Cp_013_7    0.004    0.135    0.073    0.788
Cp_013_7    0.004    0.135    0.076    0.785
Cp_016_0    0.004    0.168    0.006    0.822
Cp_016_3    0.004    0.168    0.039    0.788
Cp_016_7    0.004    0.168    0.073    0.755
Cp_016_7    0.004    0.168    0.076    0.752
Cp_020_0    0.004    0.202    0.006    0.788
Cp_020_3    0.004    0.202    0.039    0.755
Cp_020_7    0.004    0.202    0.073    0.722
Cp_020_7    0.004    0.202    0.076    0.718
Cp_020_0    0.004    0.207    0.006    0.783
Cp_020_3    0.004    0.207    0.039    0.750
Cp_020_7    0.004    0.207    0.073    0.717
Cp_020_7    0.004    0.207    0.076    0.714
Cp_0_0_0    0.005    0.002    0.006    0.987
Cp_0_0_3    0.005    0.002    0.039    0.954
Cp_0_0_7    0.005    0.002    0.073    0.920
Cp_0_0_7    0.005    0.002    0.076    0.917
Cp_0_3_0    0.005    0.035    0.006    0.954
Cp_0_3_3    0.005    0.035    0.039    0.920
Cp_0_3_7    0.005    0.035    0.073    0.887
Cp_0_3_7    0.005    0.035    0.076    0.884
Cp_0_6_0    0.005    0.068    0.006    0.920
Cp_0_6_3    0.005    0.068    0.039    0.887
Cp_0_6_7    0.005    0.068    0.073    0.854
Cp_0_6_7    0.005    0.068    0.076    0.850
Cp_010_0    0.005    0.102    0.006    0.887
Cp_010_3    0.005    0.102    0.039    0.854
Cp_010_7    0.005    0.102    0.073    0.820
Cp_010_7    0.005    0.102    0.076    0.817
Cp_013_0    0.005    0.135    0.006    0.854
Cp_013_3    0.005    0.135    0.039    0.820
Cp_013_7    0.005    0.135    0.073    0.787
Cp_013_7    0.005    0.135    0.076    0.784
Cp_016_0    0.005    0.168    0.006    0.820
Cp_016_3    0.005    0.168    0.039    0.787
Cp_016_7    0.005    0.168    0.073    0.754
Cp_016_7    0.005    0.168    0.076    0.750
Cp_020_0    0.005    0.202    0.006    0.787
Cp_020_3    0.005    0.202    0.039    0.754
Cp_020_7    0.005    0.202    0.073    0.720
Cp_020_7    0.005    0.202    0.076    0.717
Cp_020_0    0.005    0.207    0.006    0.782
Cp_020_3    0.005    0.207    0.039    0.749
Cp_020_7    0.005    0.207    0.073    0.715
Cp_020_7    0.005    0.207    0.076    0.712
Cp_0_0_0    0.007    0.002    0.006    0.985
Cp_0_0_3    0.007    0.002    0.039    0.952
Cp_0_0_7    0.007    0.002    0.073    0.919
Cp_0_0_7    0.007    0.002    0.076    0.915
Cp_0_3_0    0.007    0.035    0.006    0.952
Cp_0_3_3    0.007    0.035    0.039    0.919
Cp_0_3_7    0.007    0.035    0.073    0.885
Cp_0_3_7    0.007    0.035    0.076    0.882
Cp_0_6_0    0.007    0.068    0.006    0.919
Cp_0_6_3    0.007    0.068    0.039    0.885
Cp_0_6_7    0.007    0.068    0.073    0.852
Cp_0_6_7    0.007    0.068    0.076    0.849
Cp_010_0    0.007    0.102    0.006    0.885
Cp_010_3    0.007    0.102    0.039    0.852
Cp_010_7    0.007    0.102    0.073    0.819
Cp_010_7    0.007    0.102    0.076    0.815
Cp_013_0    0.007    0.135    0.006    0.852
Cp_013_3    0.007    0.135    0.039    0.819
Cp_013_7    0.007    0.135    0.073    0.785
Cp_013_7    0.007    0.135    0.076    0.782
Cp_016_0    0.007    0.168    0.006    0.819
Cp_016_3    0.007    0.168    0.039    0.785
Cp_016_7    0.007    0.168    0.073    0.752
Cp_016_7    0.007    0.168    0.076    0.749
Cp_020_0    0.007    0.202    0.006    0.785
Cp_020_3    0.007    0.202    0.039    0.752
Cp_020_7    0.007    0.202    0.073    0.719
Cp_020_7    0.007    0.202    0.076    0.715
Cp_020_0    0.007    0.207    0.006    0.780
Cp_020_3    0.007    0.207    0.039    0.747
Cp_020_7    0.007    0.207    0.073    0.714
Cp_020_7    0.007    0.207    0.076    0.710
Cp_0_0_0    0.009    0.002    0.006    0.983
Cp_0_0_3    0.009    0.002    0.039    0.950
Cp_0_0_7    0.009    0.002    0.073    0.917
Cp_0_0_7    0.009    0.002    0.076    0.913
Cp_0_3_0    0.009    0.035    0.006    0.950
Cp_0_3_3    0.009    0.035    0.039    0.917
Cp_0_3_7    0.009    0.035    0.073    0.883
Cp_0_3_7    0.009    0.035    0.076    0.880
Cp_0_6_0    0.009    0.068    0.006    0.917
Cp_0_6_3    0.009    0.068    0.039    0.883
Cp_0_6_7    0.009    0.068    0.073    0.850
Cp_0_6_7    0.009    0.068    0.076    0.847
Cp_010_0    0.009    0.102    0.006    0.883
Cp_010_3    0.009    0.102    0.039    0.850
Cp_010_7    0.009    0.102    0.073    0.817
Cp_010_7    0.009    0.102    0.076    0.813
Cp_013_0    0.009    0.135    0.006    0.850
Cp_013_3    0.009    0.135    0.039    0.817
Cp_013_7    0.009    0.135    0.073    0.783
Cp_013_7    0.009    0.135    0.076    0.780
Cp_016_0    0.009    0.168    0.006    0.817
Cp_016_3    0.009    0.168    0.039    0.783
Cp_016_7    0.009    0.168    0.073    0.750
Cp_016_7    0.009    0.168    0.076    0.747
Cp_020_0    0.009    0.202    0.006    0.783
Cp_020_3    0.009    0.202    0.039    0.750
Cp_020_7    0.009    0.202    0.073    0.717
Cp_020_7    0.009    0.202    0.076    0.713
Cp_020_0    0.009    0.207    0.006    0.778
Cp_020_3    0.009    0.207    0.039    0.745
Cp_020_7    0.009    0.207    0.073    0.712
Cp_020_7    0.009    0.207    0.076    0.708
Cp_1_0_0    0.011    0.002    0.006    0.981
Cp_1_0_3    0.011    0.002    0.039    0.948
Cp_1_0_7    0.011    0.002    0.073    0.914
Cp_1_0_7    0.011    0.002    0.076    0.911
Cp_1_3_0    0.011    0.035    0.006    0.948
Cp_1_3_3    0.011    0.035    0.039    0.914
Cp_1_3_7    0.011    0.035    0.073    0.881
Cp_1_3_7    0.011    0.035    0.076    0.878
Cp_1_6_0    0.011    0.068    0.006    0.914
Cp_1_6_3    0.011    0.068    0.039    0.881
Cp_1_6_7    0.011    0.068    0.073    0.848
Cp_1_6_7    0.011    0.068    0.076    0.844
Cp_110_0    0.011    0.102    0.006    0.881
Cp_110_3    0.011    0.102    0.039    0.848
Cp_110_7    0.011    0.102    0.073    0.814
Cp_110_7    0.011    0.102    0.076    0.811
Cp_113_0    0.011    0.135    0.006    0.848
Cp_113_3    0.011    0.135    0.039    0.814
Cp_113_7    0.011    0.135    0.073    0.781
Cp_113_7    0.011    0.135    0.076    0.778
Cp_116_0    0.011    0.168    0.006    0.814
Cp_116_3    0.011    0.168    0.039    0.781
Cp_116_7    0.011    0.168    0.073    0.748
Cp_116_7    0.011    0.168    0.076    0.744
Cp_120_0    0.011    0.202    0.006    0.781
Cp_120_3    0.011    0.202    0.039    0.748
Cp_120_7    0.011    0.202    0.073    0.714
Cp_120_7    0.011    0.202    0.076    0.711
Cp_120_0    0.011    0.207    0.006    0.776
Cp_120_3    0.011    0.207    0.039    0.743
Cp_120_7    0.011    0.207    0.073    0.709
Cp_120_7    0.011    0.207    0.076    0.706
Cp_1_0_0    0.014    0.002    0.006    0.978
Cp_1_0_3    0.014    0.002    0.039    0.945
Cp_1_0_7    0.014    0.002    0.073    0.912
Cp_1_0_7    0.014    0.002    0.076    0.908
Cp_1_3_0    0.014    0.035    0.006    0.945
Cp_1_3_3    0.014    0.035    0.039    0.912
Cp_1_3_7    0.014    0.035    0.073    0.878
Cp_1_3_7    0.014    0.035    0.076    0.875
Cp_1_6_0    0.014    0.068    0.006    0.912
Cp_1_6_3    0.014    0.068    0.039    0.878
Cp_1_6_7    0.014    0.068    0.073    0.845
Cp_1_6_7    0.014    0.068    0.076    0.842
Cp_110_0    0.014    0.102    0.006    0.878
Cp_110_3    0.014    0.102    0.039    0.845
Cp_110_7    0.014    0.102    0.073    0.812
Cp_110_7    0.014    0.102    0.076    0.808
Cp_113_0    0.014    0.135    0.006    0.845
Cp_113_3    0.014    0.135    0.039    0.812
Cp_113_7    0.014    0.135    0.073    0.778
Cp_113_7    0.014    0.135    0.076    0.775
Cp_116_0    0.014    0.168    0.006    0.812
Cp_116_3    0.014    0.168    0.039    0.778
Cp_116_7    0.014    0.168    0.073    0.745
Cp_116_7    0.014    0.168    0.076    0.742
Cp_120_0    0.014    0.202    0.006    0.778
Cp_120_3    0.014    0.202    0.039    0.745
Cp_120_7    0.014    0.202    0.073    0.712
Cp_120_7    0.014    0.202    0.076    0.708
Cp_120_0    0.014    0.207    0.006    0.773
Cp_120_3    0.014    0.207    0.039    0.740
Cp_120_7    0.014    0.207    0.073    0.707
Cp_120_7    0.014    0.207    0.076    0.704
Cp_1_0_0    0.017    0.002    0.006    0.975
Cp_1_0_3    0.017    0.002    0.039    0.942
Cp_1_0_7    0.017    0.002    0.073    0.909
Cp_1_0_7    0.017    0.002    0.076    0.905
Cp_1_3_0    0.017    0.035    0.006    0.942
Cp_1_3_3    0.017    0.035    0.039    0.909
Cp_1_3_7    0.017    0.035    0.073    0.875
Cp_1_3_7    0.017    0.035    0.076    0.872
Cp_1_6_0    0.017    0.068    0.006    0.909
Cp_1_6_3    0.017    0.068    0.039    0.875
Cp_1_6_7    0.017    0.068    0.073    0.842
Cp_1_6_7    0.017    0.068    0.076    0.839
Cp_110_0    0.017    0.102    0.006    0.875
Cp_110_3    0.017    0.102    0.039    0.842
Cp_110_7    0.017    0.102    0.073    0.809
Cp_110_7    0.017    0.102    0.076    0.805
Cp_113_0    0.017    0.135    0.006    0.842
Cp_113_3    0.017    0.135    0.039    0.809
Cp_113_7    0.017    0.135    0.073    0.775
Cp_113_7    0.017    0.135    0.076    0.772
Cp_116_0    0.017    0.168    0.006    0.809
Cp_116_3    0.017    0.168    0.039    0.775
Cp_116_7    0.017    0.168    0.073    0.742
Cp_116_7    0.017    0.168    0.076    0.739
Cp_120_0    0.017    0.202    0.006    0.775
Cp_120_3    0.017    0.202    0.039    0.742
Cp_120_7    0.017    0.202    0.073    0.709
Cp_120_7    0.017    0.202    0.076    0.705
Cp_120_0    0.017    0.207    0.006    0.770
Cp_120_3    0.017    0.207    0.039    0.737
Cp_120_7    0.017    0.207    0.073    0.704
Cp_120_7    0.017    0.207    0.076    0.700
Cp_2_0_0    0.021    0.002    0.006    0.972
Cp_2_0_3    0.021    0.002    0.039    0.938
Cp_2_0_7    0.021    0.002    0.073    0.905
Cp_2_0_7    0.021    0.002    0.076    0.902
Cp_2_3_0    0.021    0.035    0.006    0.938
Cp_2_3_3    0.021    0.035    0.039    0.905
Cp_2_3_7    0.021    0.035    0.073    0.872
Cp_2_3_7    0.021    0.035    0.076    0.868
Cp_2_6_0    0.021    0.068    0.006    0.905
Cp_2_6_3    0.021    0.068    0.039    0.872
Cp_2_6_7    0.021    0.068    0.073    0.838
Cp_2_6_7    0.021    0.068    0.076    0.835
Cp_210_0    0.021    0.102    0.006    0.872
Cp_210_3    0.021    0.102    0.039    0.838
Cp_210_7    0.021    0.102    0.073    0.805
Cp_210_7    0.021    0.102    0.076    0.802
Cp_213_0    0.021    0.135    0.006    0.838
Cp_213_3    0.021    0.135    0.039    0.805
Cp_213_7    0.021    0.135    0.073    0.772
Cp_213_7    0.021    0.135    0.076    0.768
Cp_216_0    0.021    0.168    0.006    0.805
Cp_216_3    0.021    0.168    0.039    0.772
Cp_216_7    0.021    0.168    0.073    0.738
Cp_216_7    0.021    0.168    0.076    0.735
Cp_220_0    0.021    0.202    0.006    0.772
Cp_220_3    0.021    0.202    0.039    0.738
Cp_220_7    0.021    0.202    0.073    0.705
Cp_220_7    0.021    0.202    0.076    0.702
Cp_220_0    0.021    0.207    0.006    0.767
Cp_220_3    0.021    0.207    0.039    0.733
Cp_220_7    0.021    0.207    0.073    0.700
Cp_220_7    0.021    0.207    0.076    0.697
Cp_2_0_0    0.025    0.002    0.006    0.968
Cp_2_0_3    0.025    0.002    0.039    0.934
Cp_2_0_7    0.025    0.002    0.073    0.901
Cp_2_0_7    0.025    0.002    0.076    0.898
Cp_2_3_0    0.025    0.035    0.006    0.934
Cp_2_3_3    0.025    0.035    0.039    0.901
Cp_2_3_7    0.025    0.035    0.073    0.868
Cp_2_3_7    0.025    0.035    0.076    0.864
Cp_2_6_0    0.025    0.068    0.006    0.901
Cp_2_6_3    0.025    0.068    0.039    0.868
Cp_2_6_7    0.025    0.068    0.073    0.834
Cp_2_6_7    0.025    0.068    0.076    0.831
Cp_210_0    0.025    0.102    0.006    0.868
Cp_210_3    0.025    0.102    0.039    0.834
Cp_210_7    0.025    0.102    0.073    0.801
Cp_210_7    0.025    0.102    0.076    0.798
Cp_213_0    0.025    0.135    0.006    0.834
Cp_213_3    0.025    0.135    0.039    0.801
Cp_213_7    0.025    0.135    0.073    0.768
Cp_213_7    0.025    0.135    0.076    0.764
Cp_216_0    0.025    0.168    0.006    0.801
Cp_216_3    0.025    0.168    0.039    0.768
Cp_216_7    0.025    0.168    0.073    0.734
Cp_216_7    0.025    0.168    0.076    0.731
Cp_220_0    0.025    0.202    0.006    0.768
Cp_220_3    0.025    0.202    0.039    0.734
Cp_220_7    0.025    0.202    0.073    0.701
Cp_220_7    0.025    0.202    0.076    0.698
Cp_220_0    0.025    0.207    0.006    0.763
Cp_220_3    0.025    0.207    0.039    0.729
Cp_220_7    0.025    0.207    0.073    0.696
Cp_220_7    0.025    0.207    0.076    0.693
Cp_2_0_0    0.030    0.002    0.006    0.963
Cp_2_0_3    0.030    0.002    0.039    0.929
Cp_2_0_7    0.030    0.002    0.073    0.896
Cp_2_0_7    0.030    0.002    0.076    0.893
Cp_2_3_0    0.030    0.035    0.006    0.929
Cp_2_3_3    0.030    0.035    0.039    0.896
Cp_2_3_7    0.030    0.035    0.073    0.863
Cp_2_3_7    0.030    0.035    0.076    0.860
Cp_2_6_0    0.030    0.068    0.006    0.896
Cp_2_6_3    0.030    0.068    0.039    0.863
Cp_2_6_7    0.030    0.068    0.073    0.829
Cp_2_6_7    0.030    0.068    0.076    0.826
Cp_210_0    0.030    0.102    0.006    0.863
Cp_210_3    0.030    0.102    0.039    0.829
Cp_210_7    0.030    0.102    0.073    0.796
Cp_210_7    0.030    0.102    0.076    0.793
Cp_213_0    0.030    0.135    0.006    0.829
Cp_213_3    0.030    0.135    0.039    0.796
Cp_213_7    0.030    0.135    0.073    0.763
Cp_213_7    0.030    0.135    0.076    0.760
Cp_216_0    0.030    0.168    0.006    0.796
Cp_216_3    0.030    0.168    0.039    0.763
Cp_216_7    0.030    0.168    0.073    0.729
Cp_216_7    0.030    0.168    0.076    0.726
Cp_220_0    0.030    0.202    0.006    0.763
Cp_220_3    0.030    0.202    0.039    0.729
Cp_220_7    0.030    0.202    0.073    0.696
Cp_220_7    0.030    0.202    0.076    0.693
Cp_220_0    0.030    0.207    0.006    0.758
Cp_220_3    0.030    0.207    0.039    0.725
Cp_220_7    0.030    0.207    0.073    0.691
Cp_220_7    0.030    0.207    0.076    0.688
Cp_3_0_0    0.035    0.002    0.006    0.957
Cp_3_0_3    0.035    0.002    0.039    0.924
Cp_3_0_7    0.035    0.002    0.073    0.891
Cp_3_0_7    0.035    0.002    0.076    0.887
Cp_3_3_0    0.035    0.035    0.006    0.924
Cp_3_3_3    0.035    0.035    0.039    0.891
Cp_3_3_7    0.035    0.035    0.073    0.857
Cp_3_3_7    0.035    0.035    0.076    0.854
Cp_3_6_0    0.035    0.068    0.006    0.891
Cp_3_6_3    0.035    0.068    0.039    0.857
Cp_3_6_7    0.035    0.068    0.073    0.824
Cp_3_6_7    0.035    0.068    0.076    0.821
Cp_310_0    0.035    0.102    0.006    0.857
Cp_310_3    0.035    0.102    0.039    0.824
Cp_310_7    0.035    0.102    0.073    0.791
Cp_310_7    0.035    0.102    0.076    0.787
Cp_313_0    0.035    0.135    0.006    0.824
Cp_313_3    0.035    0.135    0.039    0.791
Cp_313_7    0.035    0.135    0.073    0.757
Cp_313_7    0.035    0.135    0.076    0.754
Cp_316_0    0.035    0.168    0.006    0.791
Cp_316_3    0.035    0.168    0.039    0.757
Cp_316_7    0.035    0.168    0.073    0.724
Cp_316_7    0.035    0.168    0.076    0.721
Cp_320_0    0.035    0.202    0.006    0.757
Cp_320_3    0.035    0.202    0.039    0.724
Cp_320_7    0.035    0.202    0.073    0.691
Cp_320_7    0.035    0.202    0.076    0.687
Cp_320_0    0.035    0.207    0.006    0.752
Cp_320_3    0.035    0.207    0.039    0.719
Cp_320_7    0.035    0.207    0.073    0.686
Cp_320_7    0.035    0.207    0.076    0.682
Cp_4_0_0    0.041    0.002    0.006    0.951
Cp_4_0_3    0.041    0.002    0.039    0.918
Cp_4_0_7    0.041    0.002    0.073    0.884
Cp_4_0_7    0.041    0.002    0.076    0.881
Cp_4_3_0    0.041    0.035    0.006    0.918
Cp_4_3_3    0.041    0.035    0.039    0.884
Cp_4_3_7    0.041    0.035    0.073    0.851
Cp_4_3_7    0.041    0.035    0.076    0.848
Cp_4_6_0    0.041    0.068    0.006    0.884
Cp_4_6_3    0.041    0.068    0.039    0.851
Cp_4_6_7    0.041    0.068    0.073    0.818
Cp_4_6_7    0.041    0.068    0.076    0.814
Cp_410_0    0.041    0.102    0.006    0.851
