Pressure (Pa): comment                                           
       12096
     5.000    -0.775     38.54    38.605     0 0 0 0 11
     5.000    -1.252     51.07    51.473     0 0 0 0 11
     5.000    -1.879     67.29    68.388     0 0 015 11
     5.000    -2.206     75.65    77.210     0 0 0 0151
     5.000    -2.683     87.70    90.078     0 0 0 0151
     5.000    -3.160     99.59   102.946     0 0 0 0151
     5.000    -3.637    111.32   115.814     0 0 0 0151
     5.000    -4.591    134.31   141.551     0 0 0 0151
     5.000    -5.068    145.57   154.419     0 0 0 0151
     5.000    -5.545    156.67   167.287     0 0 0 0151
     5.000    -6.022    167.61   180.156     0 0 0 0151
     5.000    -6.976    189.02   205.892     0 0 0 0151
     5.000    -7.929    209.78   231.602     0 0 0 0151
     5.000    -8.883    229.93   257.338     0 0 0 0151
     5.000    -9.837    249.45   283.075     0 0 0 0151
     5.000   -10.868    269.84   310.889     0 0 016151
     5.000   -11.745    289.21   335.408     0 0 0 0161
     5.000   -12.699    310.06   362.081     0 0 0 0161
     5.000   -13.653    330.70   388.753     0 0 0 0161
     5.000   -15.561    371.32   442.098     0 0 0 0161
     5.000   -17.469    411.08   495.443     0 0 0 0161
     5.000   -19.377    449.96   548.788     0 0 0 0161
     5.000   -21.000    482.36   594.164     0 0 017161
     5.000   -23.193    527.65   657.629     0 0 0 0171
     5.000   -25.100    566.62   712.816     0 0 0 0171
     5.000   -27.008    605.28   768.033     0 0 0 0171
     5.000   -28.916    643.59   823.249     0 0 0 0171
     5.000   -30.824    681.55   878.466     0 0 0 0171
     5.000   -32.000    704.77   912.499     0 0 020171
     5.000   -34.640    729.52   998.024     0 0 0 0201
     5.000   -37.502    756.00  1090.717     0 0 0 0201
     5.000   -40.364    782.32  1183.397     0 0 0 0201
     5.000   -43.225    808.42  1276.041     0 0 0 0201
     5.000   -46.087    834.14  1368.842     0 0 0 0201
     5.000   -48.949    859.47  1461.784     0 0 0 0201
     5.000   -51.811    884.45  1554.723     0 0 0 0201
     5.000   -54.673    909.12  1647.676     0 0 0 0201
