#Time: 	1.000 My
#x(km)	w(m)	h(m)
1706.81	-0.001	1122.694
1714.82	-0.001	1122.694
1722.83	-0.001	1122.694
1730.84	-0.000	1122.693
1738.86	-0.000	1122.693
1746.87	-0.000	1122.693
1754.88	0.000	1122.693
1762.89	0.000	1122.693
1770.90	0.000	1122.693
1778.92	0.000	1122.693
1786.93	0.000	1122.693
1794.94	0.001	1122.693
1802.95	0.001	1122.692
1810.96	0.001	1122.692
1818.98	0.001	1122.692
1826.99	0.001	1122.692
1835.00	0.001	1122.692
1843.01	0.001	1122.692
1851.02	0.001	1122.692
1859.04	0.001	1122.692
1867.05	0.001	1122.693
1875.06	0.000	1122.693
1883.07	0.000	1122.693
1891.08	0.000	1122.693
1899.10	0.000	1122.693
1907.11	0.000	1122.693
1915.12	0.000	1122.693
1923.13	0.000	1122.693
1931.14	0.000	1122.693
1939.16	0.000	1122.693
1947.17	0.000	1122.693
1955.18	0.000	1122.693
1963.19	0.000	1122.693
1971.20	0.000	1122.693
1979.22	0.000	1122.693
1987.23	0.000	1122.693
1995.24	0.000	1122.693
2003.25	0.000	1122.693
2011.27	0.000	1122.693
2019.28	0.000	1122.693
2027.29	0.000	1122.693
2035.30	0.000	1122.693
2043.31	0.000	1122.693
2051.33	0.000	1122.693
2059.34	-0.000	1122.693
2067.35	-0.000	1122.693
2075.36	-0.000	1122.693
2083.37	-0.000	1122.693
2091.39	-0.000	1122.693
2099.40	-0.000	1122.693
2107.41	-0.000	1122.693
2115.42	-0.000	1122.693
2123.43	-0.000	1122.693
2131.45	-0.000	1122.693
2139.46	-0.000	1122.693
2147.47	-0.000	1122.693
2155.48	-0.000	1122.693
2163.49	-0.000	1122.693
2171.51	-0.000	1122.693
2179.52	-0.000	1122.693
2187.53	-0.000	1122.693
2195.54	-0.000	1122.693
2203.55	-0.000	1122.693
2211.57	-0.000	1122.693
2219.58	-0.000	1122.693
2227.59	-0.000	1122.693
2235.60	-0.000	1122.693
2243.61	-0.000	1122.693
2251.63	-0.000	1122.693
2259.64	-0.000	1122.693
2267.65	-0.000	1122.693
2275.66	-0.000	1122.693
2283.67	-0.000	1122.693
2291.69	-0.000	1122.693
2299.70	-0.000	1122.693
2307.71	-0.000	1122.693
2315.72	-0.000	1122.693
2323.74	-0.000	1122.693
2331.75	-0.000	1122.693
2339.76	-0.000	1122.693
2347.77	-0.000	1122.693
2355.78	-0.000	1122.693
2363.80	-0.000	1122.693
2371.81	-0.000	1122.693
2379.82	-0.000	1122.693
2387.83	0.000	1122.693
2395.84	0.000	1122.693
2403.86	0.000	1122.693
2411.87	0.000	1122.693
2419.88	0.000	1122.693
2427.89	0.000	1122.693
2435.90	0.000	1122.693
2443.92	0.000	1122.693
2451.93	0.000	1122.693
2459.94	0.000	1122.693
2467.95	0.000	1122.693
2475.96	0.000	1122.693
2483.98	0.000	1122.693
2491.99	0.000	1122.693
2500.00	0.000	1122.693
