
Solution: Pl(h)     
            Endmember fractions:
            abh      an      
ab23        0.233    0.767
ab26        0.265    0.735
ab29        0.298    0.702
ab33        0.331    0.669
ab36        0.363    0.637
ab39        0.396    0.604
ab42        0.429    0.571
ab46        0.461    0.539
ab49        0.494    0.506
ab52        0.527    0.473
ab55        0.559    0.441
ab59        0.592    0.408
ab62        0.625    0.375
ab65        0.657    0.343
ab66        0.662    0.338

Solution: O(HP)     
            Endmember fractions:
            fo       fa      
fo88        0.890    0.110
fo92        0.923    0.077
fo95        0.955    0.045
fo96.4      0.964    0.036

Solution: Sp(HP)    
            Endmember fractions:
            sp       herc    
sp79        0.796    0.204
sp80        0.808    0.192

Solution: Opx(HP)   
            Endmember fractions:
            mgts     en       fs       * see footnotes 1 & 2
Op90__0     0.000    0.908    0.092
Op94__0     0.000    0.941    0.059
Op94__0     0.000    0.944    0.056
Op90__3     0.033    0.875    0.089
Op94__3     0.033    0.908    0.057
Op94__3     0.033    0.911    0.054
Op90__6     0.066    0.842    0.086
Op94__6     0.066    0.875    0.055
Op94__6     0.066    0.878    0.052
Op90__9     0.100    0.808    0.083
Op94__9     0.100    0.842    0.053
Op94__9     0.100    0.845    0.050
Op90_13     0.133    0.775    0.080
Op94_13     0.133    0.808    0.051
Op94_13     0.133    0.811    0.049
Op90_16     0.161    0.747    0.077
Op94_16     0.161    0.780    0.049
Op94_16     0.161    0.783    0.047

1 - Although the bulk composition of pseudocompounds for this solution is fixed,
 the proportions of its endmembers may vary due to respeciation.


2 - Proportions output here may sum to <1 because the ordered species
may have non-zero initial proportions.


Solution: Cpx(HP)   
            Endmember fractions:
            cats     jd       hed      di      
Cp_022_7    0.002    0.226    0.072    0.700
Cp_0_0_0    0.003    0.005    0.005    0.987
Cp_0_0_3    0.003    0.005    0.039    0.954
Cp_0_0_7    0.003    0.005    0.072    0.920
Cp_0_0_7    0.003    0.005    0.072    0.920
Cp_0_3_0    0.003    0.038    0.005    0.954
Cp_0_3_3    0.003    0.038    0.039    0.920
Cp_0_3_7    0.003    0.038    0.072    0.887
Cp_0_3_7    0.003    0.038    0.072    0.887
Cp_0_7_0    0.003    0.072    0.005    0.920
Cp_0_7_3    0.003    0.072    0.039    0.887
Cp_0_7_7    0.003    0.072    0.072    0.854
Cp_0_7_7    0.003    0.072    0.072    0.853
Cp_010_0    0.003    0.105    0.005    0.887
Cp_010_3    0.003    0.105    0.039    0.854
Cp_010_7    0.003    0.105    0.072    0.820
Cp_010_7    0.003    0.105    0.072    0.820
Cp_013_0    0.003    0.138    0.005    0.854
Cp_013_3    0.003    0.138    0.039    0.820
Cp_013_7    0.003    0.138    0.072    0.787
Cp_013_7    0.003    0.138    0.072    0.787
Cp_017_0    0.003    0.172    0.005    0.820
Cp_017_3    0.003    0.172    0.039    0.787
Cp_017_7    0.003    0.172    0.072    0.754
Cp_017_7    0.003    0.172    0.072    0.753
Cp_020_0    0.003    0.205    0.005    0.787
Cp_020_3    0.003    0.205    0.039    0.754
Cp_020_7    0.003    0.205    0.072    0.720
Cp_020_7    0.003    0.205    0.072    0.720
Cp_022_0    0.003    0.226    0.005    0.766
Cp_022_3    0.003    0.226    0.039    0.733
Cp_022_7    0.003    0.226    0.072    0.699
Cp_022_7    0.003    0.226    0.072    0.699
Cp_0_0_0    0.004    0.005    0.005    0.986
Cp_0_0_3    0.004    0.005    0.039    0.953
Cp_0_0_7    0.004    0.005    0.072    0.919
Cp_0_0_7    0.004    0.005    0.072    0.919
Cp_0_3_0    0.004    0.038    0.005    0.953
Cp_0_3_3    0.004    0.038    0.039    0.919
Cp_0_3_7    0.004    0.038    0.072    0.886
Cp_0_3_7    0.004    0.038    0.072    0.886
Cp_0_7_0    0.004    0.072    0.005    0.919
Cp_0_7_3    0.004    0.072    0.039    0.886
Cp_0_7_7    0.004    0.072    0.072    0.853
Cp_0_7_7    0.004    0.072    0.072    0.852
Cp_010_0    0.004    0.105    0.005    0.886
Cp_010_3    0.004    0.105    0.039    0.853
Cp_010_7    0.004    0.105    0.072    0.819
Cp_010_7    0.004    0.105    0.072    0.819
Cp_013_0    0.004    0.138    0.005    0.853
Cp_013_3    0.004    0.138    0.039    0.819
Cp_013_7    0.004    0.138    0.072    0.786
Cp_013_7    0.004    0.138    0.072    0.786
Cp_017_0    0.004    0.172    0.005    0.819
Cp_017_3    0.004    0.172    0.039    0.786
Cp_017_7    0.004    0.172    0.072    0.753
Cp_017_7    0.004    0.172    0.072    0.752
Cp_020_0    0.004    0.205    0.005    0.786
Cp_020_3    0.004    0.205    0.039    0.753
Cp_020_7    0.004    0.205    0.072    0.719
Cp_020_7    0.004    0.205    0.072    0.719
Cp_022_0    0.004    0.226    0.005    0.765
Cp_022_3    0.004    0.226    0.039    0.732
Cp_022_7    0.004    0.226    0.072    0.698
Cp_022_7    0.004    0.226    0.072    0.698
Cp_0_0_0    0.005    0.005    0.005    0.985
Cp_0_0_3    0.005    0.005    0.039    0.951
Cp_0_0_7    0.005    0.005    0.072    0.918
Cp_0_0_7    0.005    0.005    0.072    0.918
Cp_0_3_0    0.005    0.038    0.005    0.951
Cp_0_3_3    0.005    0.038    0.039    0.918
Cp_0_3_7    0.005    0.038    0.072    0.885
Cp_0_3_7    0.005    0.038    0.072    0.884
Cp_0_7_0    0.005    0.072    0.005    0.918
Cp_0_7_3    0.005    0.072    0.039    0.885
Cp_0_7_7    0.005    0.072    0.072    0.851
Cp_0_7_7    0.005    0.072    0.072    0.851
Cp_010_0    0.005    0.105    0.005    0.885
Cp_010_3    0.005    0.105    0.039    0.851
Cp_010_7    0.005    0.105    0.072    0.818
Cp_010_7    0.005    0.105    0.072    0.818
Cp_013_0    0.005    0.138    0.005    0.851
Cp_013_3    0.005    0.138    0.039    0.818
Cp_013_7    0.005    0.138    0.072    0.785
Cp_013_7    0.005    0.138    0.072    0.784
Cp_017_0    0.005    0.172    0.005    0.818
Cp_017_3    0.005    0.172    0.039    0.785
Cp_017_7    0.005    0.172    0.072    0.751
Cp_017_7    0.005    0.172    0.072    0.751
Cp_020_0    0.005    0.205    0.005    0.785
Cp_020_3    0.005    0.205    0.039    0.751
Cp_020_7    0.005    0.205    0.072    0.718
Cp_020_7    0.005    0.205    0.072    0.718
Cp_022_0    0.005    0.226    0.005    0.764
Cp_022_3    0.005    0.226    0.039    0.730
Cp_022_7    0.005    0.226    0.072    0.697
Cp_022_7    0.005    0.226    0.072    0.697
Cp_0_0_0    0.007    0.005    0.005    0.983
Cp_0_0_3    0.007    0.005    0.039    0.950
Cp_0_0_7    0.007    0.005    0.072    0.916
Cp_0_0_7    0.007    0.005    0.072    0.916
Cp_0_3_0    0.007    0.038    0.005    0.950
Cp_0_3_3    0.007    0.038    0.039    0.916
Cp_0_3_7    0.007    0.038    0.072    0.883
Cp_0_3_7    0.007    0.038    0.072    0.883
Cp_0_7_0    0.007    0.072    0.005    0.916
Cp_0_7_3    0.007    0.072    0.039    0.883
Cp_0_7_7    0.007    0.072    0.072    0.850
Cp_0_7_7    0.007    0.072    0.072    0.849
Cp_010_0    0.007    0.105    0.005    0.883
Cp_010_3    0.007    0.105    0.039    0.850
Cp_010_7    0.007    0.105    0.072    0.816
Cp_010_7    0.007    0.105    0.072    0.816
Cp_013_0    0.007    0.138    0.005    0.850
Cp_013_3    0.007    0.138    0.039    0.816
Cp_013_7    0.007    0.138    0.072    0.783
Cp_013_7    0.007    0.138    0.072    0.783
Cp_017_0    0.007    0.172    0.005    0.816
Cp_017_3    0.007    0.172    0.039    0.783
Cp_017_7    0.007    0.172    0.072    0.750
Cp_017_7    0.007    0.172    0.072    0.749
Cp_020_0    0.007    0.205    0.005    0.783
Cp_020_3    0.007    0.205    0.039    0.750
Cp_020_7    0.007    0.205    0.072    0.716
Cp_020_7    0.007    0.205    0.072    0.716
Cp_022_0    0.007    0.226    0.005    0.762
Cp_022_3    0.007    0.226    0.039    0.729
Cp_022_7    0.007    0.226    0.072    0.695
Cp_022_7    0.007    0.226    0.072    0.695
Cp_0_0_0    0.008    0.005    0.005    0.981
Cp_0_0_3    0.008    0.005    0.039    0.948
Cp_0_0_7    0.008    0.005    0.072    0.915
Cp_0_0_7    0.008    0.005    0.072    0.914
Cp_0_3_0    0.008    0.038    0.005    0.948
Cp_0_3_3    0.008    0.038    0.039    0.915
Cp_0_3_7    0.008    0.038    0.072    0.881
Cp_0_3_7    0.008    0.038    0.072    0.881
Cp_0_7_0    0.008    0.072    0.005    0.915
Cp_0_7_3    0.008    0.072    0.039    0.881
Cp_0_7_7    0.008    0.072    0.072    0.848
Cp_0_7_7    0.008    0.072    0.072    0.848
Cp_010_0    0.008    0.105    0.005    0.881
Cp_010_3    0.008    0.105    0.039    0.848
Cp_010_7    0.008    0.105    0.072    0.815
Cp_010_7    0.008    0.105    0.072    0.814
Cp_013_0    0.008    0.138    0.005    0.848
Cp_013_3    0.008    0.138    0.039    0.815
Cp_013_7    0.008    0.138    0.072    0.781
Cp_013_7    0.008    0.138    0.072    0.781
Cp_017_0    0.008    0.172    0.005    0.815
Cp_017_3    0.008    0.172    0.039    0.781
Cp_017_7    0.008    0.172    0.072    0.748
Cp_017_7    0.008    0.172    0.072    0.748
Cp_020_0    0.008    0.205    0.005    0.781
Cp_020_3    0.008    0.205    0.039    0.748
Cp_020_7    0.008    0.205    0.072    0.715
Cp_020_7    0.008    0.205    0.072    0.714
Cp_022_0    0.008    0.226    0.005    0.760
Cp_022_3    0.008    0.226    0.039    0.727
Cp_022_7    0.008    0.226    0.072    0.694
Cp_022_7    0.008    0.226    0.072    0.693
Cp_1_0_0    0.010    0.005    0.005    0.979
Cp_1_0_3    0.010    0.005    0.039    0.946
Cp_1_0_7    0.010    0.005    0.072    0.913
Cp_1_0_7    0.010    0.005    0.072    0.912
Cp_1_3_0    0.010    0.038    0.005    0.946
Cp_1_3_3    0.010    0.038    0.039    0.913
Cp_1_3_7    0.010    0.038    0.072    0.879
Cp_1_3_7    0.010    0.038    0.072    0.879
Cp_1_7_0    0.010    0.072    0.005    0.913
Cp_1_7_3    0.010    0.072    0.039    0.879
Cp_1_7_7    0.010    0.072    0.072    0.846
Cp_1_7_7    0.010    0.072    0.072    0.846
Cp_110_0    0.010    0.105    0.005    0.879
Cp_110_3    0.010    0.105    0.039    0.846
Cp_110_7    0.010    0.105    0.072    0.813
Cp_110_7    0.010    0.105    0.072    0.812
Cp_113_0    0.010    0.138    0.005    0.846
Cp_113_3    0.010    0.138    0.039    0.813
Cp_113_7    0.010    0.138    0.072    0.779
Cp_113_7    0.010    0.138    0.072    0.779
Cp_117_0    0.010    0.172    0.005    0.813
Cp_117_3    0.010    0.172    0.039    0.779
Cp_117_7    0.010    0.172    0.072    0.746
Cp_117_7    0.010    0.172    0.072    0.746
Cp_120_0    0.010    0.205    0.005    0.779
Cp_120_3    0.010    0.205    0.039    0.746
Cp_120_7    0.010    0.205    0.072    0.713
Cp_120_7    0.010    0.205    0.072    0.712
Cp_122_0    0.010    0.226    0.005    0.758
Cp_122_3    0.010    0.226    0.039    0.725
Cp_122_7    0.010    0.226    0.072    0.691
Cp_122_7    0.010    0.226    0.072    0.691
Cp_1_0_0    0.013    0.005    0.005    0.977
Cp_1_0_3    0.013    0.005    0.039    0.943
Cp_1_0_7    0.013    0.005    0.072    0.910
Cp_1_0_7    0.013    0.005    0.072    0.910
Cp_1_3_0    0.013    0.038    0.005    0.943
Cp_1_3_3    0.013    0.038    0.039    0.910
Cp_1_3_7    0.013    0.038    0.072    0.877
Cp_1_3_7    0.013    0.038    0.072    0.876
Cp_1_7_0    0.013    0.072    0.005    0.910
Cp_1_7_3    0.013    0.072    0.039    0.877
Cp_1_7_7    0.013    0.072    0.072    0.843
Cp_1_7_7    0.013    0.072    0.072    0.843
Cp_110_0    0.013    0.105    0.005    0.877
Cp_110_3    0.013    0.105    0.039    0.843
Cp_110_7    0.013    0.105    0.072    0.810
Cp_110_7    0.013    0.105    0.072    0.810
Cp_113_0    0.013    0.138    0.005    0.843
Cp_113_3    0.013    0.138    0.039    0.810
Cp_113_7    0.013    0.138    0.072    0.777
Cp_113_7    0.013    0.138    0.072    0.776
Cp_117_0    0.013    0.172    0.005    0.810
Cp_117_3    0.013    0.172    0.039    0.777
Cp_117_7    0.013    0.172    0.072    0.743
Cp_117_7    0.013    0.172    0.072    0.743
Cp_120_0    0.013    0.205    0.005    0.777
Cp_120_3    0.013    0.205    0.039    0.743
Cp_120_7    0.013    0.205    0.072    0.710
Cp_120_7    0.013    0.205    0.072    0.710
Cp_122_0    0.013    0.226    0.005    0.756
Cp_122_3    0.013    0.226    0.039    0.722
Cp_122_7    0.013    0.226    0.072    0.689
Cp_122_7    0.013    0.226    0.072    0.689
Cp_1_0_0    0.016    0.005    0.005    0.974
Cp_1_0_3    0.016    0.005    0.039    0.941
Cp_1_0_7    0.016    0.005    0.072    0.907
Cp_1_0_7    0.016    0.005    0.072    0.907
Cp_1_3_0    0.016    0.038    0.005    0.941
Cp_1_3_3    0.016    0.038    0.039    0.907
Cp_1_3_7    0.016    0.038    0.072    0.874
Cp_1_3_7    0.016    0.038    0.072    0.874
Cp_1_7_0    0.016    0.072    0.005    0.907
Cp_1_7_3    0.016    0.072    0.039    0.874
