
Solution: Pl(h)     
            Endmember fractions:
            abh      an      
ab20        0.201    0.799
ab23        0.234    0.766
ab26        0.267    0.733
ab29        0.299    0.701
ab33        0.332    0.668
ab36        0.365    0.635
ab39        0.397    0.603
ab42        0.430    0.570
ab46        0.463    0.537
ab49        0.495    0.505
ab52        0.528    0.472
ab56        0.561    0.439
ab59        0.593    0.407
ab62        0.626    0.374
ab65        0.659    0.341
ab69        0.691    0.309
ab72        0.724    0.276
ab75        0.757    0.243
ab78        0.789    0.211
ab80        0.802    0.198

Solution: O(HP)     
            Endmember fractions:
            fo       fa      
fo89        0.891    0.109
fo92        0.924    0.076
fo95        0.957    0.043
fo99.0      0.990    0.010
fo99.1      0.991    0.009

Solution: Sp(HP)    
            Endmember fractions:
            sp       herc    
sp68        0.681    0.319
sp71        0.714    0.286
sp74        0.747    0.253
sp78        0.780    0.220
sp81        0.811    0.189

Solution: Opx(HP)   
            Endmember fractions:
            mgts     en       fs       * see footnotes 1 & 2
Op89__0     0.000    0.893    0.107
Op92__0     0.000    0.926    0.074
Op94__0     0.000    0.942    0.058
Op89__3     0.033    0.860    0.103
Op92__3     0.033    0.893    0.071
Op94__3     0.033    0.909    0.056
Op89__6     0.066    0.827    0.100
Op92__6     0.066    0.860    0.069
Op94__6     0.066    0.876    0.054
Op89__9     0.100    0.794    0.096
Op92__9     0.100    0.827    0.066
Op94__9     0.100    0.843    0.052
Op89_13     0.133    0.761    0.093
Op92_13     0.133    0.794    0.064
Op94_13     0.133    0.809    0.050
Op89_15     0.153    0.741    0.091
Op92_15     0.153    0.774    0.062
Op94_15     0.153    0.790    0.049

1 - Although the bulk composition of pseudocompounds for this solution is fixed,
 the proportions of its endmembers may vary due to respeciation.


2 - Proportions output here may sum to <1 because the ordered species
may have non-zero initial proportions.


Solution: Cpx(HP)   
            Endmember fractions:
            cats     jd       hed      di      
Cp_043_0    0.001    0.433    0.000    0.566
Cp_043_3    0.001    0.433    0.033    0.533
Cp_043_6    0.001    0.433    0.067    0.499
Cp_043_7    0.001    0.433    0.070    0.496
Cp_046_0    0.001    0.467    0.000    0.533
Cp_046_3    0.001    0.467    0.033    0.499
Cp_046_6    0.001    0.467    0.067    0.466
Cp_046_7    0.001    0.467    0.070    0.462
Cp_049_0    0.001    0.500    0.000    0.499
Cp_049_3    0.001    0.500    0.033    0.466
Cp_049_6    0.001    0.500    0.067    0.433
Cp_049_7    0.001    0.500    0.070    0.429
Cp_053_0    0.001    0.533    0.000    0.466
Cp_053_3    0.001    0.533    0.033    0.433
Cp_053_6    0.001    0.533    0.067    0.399
Cp_053_7    0.001    0.533    0.070    0.396
Cp_056_0    0.001    0.567    0.000    0.433
Cp_056_3    0.001    0.567    0.033    0.399
Cp_056_6    0.001    0.567    0.067    0.366
Cp_056_7    0.001    0.567    0.070    0.362
Cp_060_0    0.001    0.600    0.000    0.399
Cp_060_3    0.001    0.600    0.033    0.366
Cp_060_6    0.001    0.600    0.067    0.333
Cp_060_7    0.001    0.600    0.070    0.329
Cp_063_0    0.001    0.633    0.000    0.366
Cp_063_3    0.001    0.633    0.033    0.333
Cp_063_6    0.001    0.633    0.067    0.299
Cp_063_7    0.001    0.633    0.070    0.296
Cp_066_0    0.001    0.667    0.000    0.333
Cp_066_3    0.001    0.667    0.033    0.299
Cp_066_6    0.001    0.667    0.067    0.266
Cp_066_7    0.001    0.667    0.070    0.262
Cp_070_0    0.001    0.700    0.000    0.299
Cp_070_3    0.001    0.700    0.033    0.266
Cp_070_6    0.001    0.700    0.067    0.233
Cp_070_7    0.001    0.700    0.070    0.229
Cp_073_0    0.001    0.733    0.000    0.266
Cp_073_3    0.001    0.733    0.033    0.233
Cp_073_6    0.001    0.733    0.067    0.199
Cp_073_7    0.001    0.733    0.070    0.196
Cp_076_0    0.001    0.767    0.000    0.233
Cp_076_3    0.001    0.767    0.033    0.199
Cp_076_6    0.001    0.767    0.067    0.166
Cp_076_7    0.001    0.767    0.070    0.162
Cp_080_0    0.001    0.800    0.000    0.199
Cp_080_3    0.001    0.800    0.033    0.166
Cp_080_6    0.001    0.800    0.067    0.133
Cp_080_7    0.001    0.800    0.070    0.129
Cp_083_0    0.001    0.833    0.000    0.166
Cp_083_3    0.001    0.833    0.033    0.133
Cp_083_6    0.001    0.833    0.067    0.099
Cp_083_7    0.001    0.833    0.070    0.096
Cp_086_0    0.001    0.867    0.000    0.133
Cp_086_3    0.001    0.867    0.033    0.099
Cp_086_6    0.001    0.867    0.067    0.066
Cp_086_7    0.001    0.867    0.070    0.062
Cp_089_0    0.001    0.900    0.000    0.099
Cp_089_3    0.001    0.900    0.033    0.066
Cp_089_6    0.001    0.900    0.067    0.033
Cp_089_7    0.001    0.900    0.070    0.029
Cp_093_0    0.001    0.933    0.000    0.066
Cp_093_3    0.001    0.933    0.033    0.033
Cp_093_6    0.001    0.933    0.066    0.000
Cp_093_0    0.001    0.934    0.000    0.066
Cp_093_3    0.001    0.934    0.033    0.032
Cp_093_6    0.001    0.934    0.066    0.000
Cp_0_0_0    0.002    0.000    0.000    0.998
Cp_0_0_3    0.002    0.000    0.033    0.965
Cp_0_0_6    0.002    0.000    0.067    0.932
Cp_0_0_7    0.002    0.000    0.070    0.928
Cp_0_3_0    0.002    0.033    0.000    0.965
Cp_0_3_3    0.002    0.033    0.033    0.932
Cp_0_3_6    0.002    0.033    0.067    0.898
