          Origin time           Lat      Lon     Dp  Mag
1995 (074) 03 15 02 31 31.9   15.057   118.652   26  5.1 1995074023131
1995 (078) 03 19 18 34 04.4   -4.231   135.013   19  5.6 1995078183404
1995 (078) 03 19 23 53 14.9   -4.183   135.109   33  6.2 1995078235314
1995 (090) 03 31 14 01 40.0   38.212   135.012  354  6.0 1995090140140
1995 (093) 04 03 11 54 43.5   24.066   122.289   33  5.6 1995093115443
1995 (095) 04 05 08 47 54.2   -6.308   105.186   78  5.1 1995095084754
1995 (098) 04 08 17 45 12.9   21.833   142.691  267  6.4 1995098174512
1995 (107) 04 17 01 14 16.6   -8.527   156.612   11  5.8 1995107011416
1995 (107) 04 17 23 28 06.8   45.928   151.283   23  6.1 1995107232806
1995 (110) 04 20 08 45 11.6    6.279   126.777   94  6.2 1995110084511
1995 (111) 04 21 00 02 48.4   11.973   125.688   27  5.4 1995111000248
1995 (111) 04 21 00 09 54.3   12.011   125.656   20  6.2 1995111000954
1995 (111) 04 21 00 30 10.8   11.925   125.564   17  6.3 1995111003010
1995 (111) 04 21 00 34 46.0   12.059   125.580   20  6.3 1995111003446
1995 (111) 04 21 05 17 01.3   12.047   125.920   27  5.6 1995111051701
1995 (112) 04 22 18 19 50.0   -5.150   102.658   82  5.1 1995112181950
1995 (113) 04 23 02 55 55.1   51.334   179.714   16  6.2 1995113025555
1995 (113) 04 23 05 08 01.9   12.390   125.396   24  6.1 1995113050801
1995 (113) 04 23 06 38 11.1    5.954   123.818  530  5.5 1995113063811
1995 (115) 04 25 06 15 00.3   -5.902   147.417   22  5.6 1995115061500
1995 (115) 04 25 08 29 02.5   22.669   120.689   41  5.0 1995115082902
1995 (118) 04 28 16 30 00.6   44.072   148.004   28  6.5 1995118163000
1995 (118) 04 28 17 08 43.2   44.091   148.074   35  6.1 1995118170843
1995 (119) 04 29 09 43 57.7   11.853   125.982   15  5.5 1995119094357
1995 (124) 05 04 02 18 47.9    1.889   128.478   23  6.0 1995124021847
1995 (125) 05 05 03 53 45.0   12.626   125.297   16  6.2 1995125035345
1995 (125) 05 05 04 39 10.6   12.637   125.238   33  5.6 1995125043910
1995 (125) 05 05 17 19 19.3   -8.725   111.034   76  5.7 1995125171919
1995 (128) 05 08 18 05 10.0   11.529   126.059   35  5.5 1995128180510
1995 (128) 05 08 18 08 06.2   11.465   125.962   12  5.7 1995128180806
1995 (133) 05 13 08 47 12.7   40.149    21.695   14  6.2 1995133084712
1995 (133) 05 13 21 00 56.1   -5.304   108.903  576  5.7 1995133210056
1995 (134) 05 14 11 33 18.8   -8.378   125.127   11  6.2 1995134113318
1995 (138) 05 18 14 31 12.4   44.322   147.536   89  5.8 1995138143112
1995 (144) 05 24 20 21 24.9   12.263   125.701   31  5.4 1995144202124
1995 (147) 05 27 13 03 52.6   52.629   142.827   11  6.7 1995147130352
1995 (147) 05 27 18 11 11.9   23.013   121.434   28  5.2 1995147181111
1995 (148) 05 28 02 42 27.1   -6.783   107.277  115  5.1 1995148024227
1995 (149) 05 29 07 29 45.7  -10.246   164.001   26  5.9 1995149072945
1995 (166) 06 15 00 15 48.7   38.401    22.283   14  6.1 1995166001548
1995 (173) 06 22 01 01 19.0   50.372    89.949   13  5.5 1995173010119
1995 (175) 06 24 06 58 06.6   -3.959   153.930  386  6.2 1995175065806
1995 (176) 06 25 02 10 39.7   -3.321   150.458   32  5.7 1995176021039
1995 (176) 06 25 06 59 06.2   24.600   121.700   52  5.8 1995176065906
1995 (180) 06 29 07 45 09.9   48.793   154.446   64  5.9 1995180074509
1995 (180) 06 29 23 02 28.2   51.961   103.099   11  5.6 1995180230228
1995 (188) 07 07 21 15 19.6   33.972   137.127  333  5.8 1995188211519
1995 (193) 07 12 18 38 49.8   12.324   125.058   34  5.9 1995193183849
1995 (207) 07 26 23 42 02.7    2.534   127.681   65  6.0 1995207234202
1995 (210) 07 29 08 01 26.3    4.278   126.656   53  5.5 1995210080126
1995 (219) 08 07 19 44 25.4    4.041   143.770   12  5.4 1995219194425
1995 (226) 08 14 04 37 17.5   -4.836   151.515  127  6.4 1995226043717
1995 (228) 08 16 10 27 28.6   -5.799   154.178   30  6.5 1995228102728
1995 (228) 08 16 14 05 44.1   -5.146   153.447   33  5.4 1995228140544
1995 (228) 08 16 15 28 56.1   -5.032   153.935   83  5.8 1995228152856
1995 (228) 08 16 16 24 26.5   -5.429   153.773   18  5.8 1995228162426
1995 (228) 08 16 20 58 50.8   28.460   128.067   20  5.3 1995228205850
1995 (228) 08 16 23 10 23.9   -5.771   154.347   33  6.2 1995228231023
1995 (229) 08 17 00 15 50.4   -5.934   154.213   14  6.1 1995229001550
1995 (229) 08 17 10 01 25.9   -5.168   153.447   21  5.6 1995229100125
1995 (235) 08 23 07 06 02.7   18.856   145.218  594  6.3 1995235070602
1995 (236) 08 24 01 55 34.6   18.902   145.047  587  6.0 1995236015534
1995 (236) 08 24 06 28 54.9   18.847   145.123  602  5.7 1995236062854
1995 (238) 08 26 06 57 16.6   -5.643   153.541   17  5.7 1995238065716
1995 (241) 08 29 07 25 49.2  -47.937    99.467   10  5.6 1995241072549
1995 (244) 09 01 06 30 35.7    0.042   123.235  144  5.6 1995244063035
1995 (259) 09 16 01 03 36.9   -6.323   155.207  151  5.9 1995259010336
1995 (260) 09 17 17 09 20.6  -17.093    66.707    8  5.6 1995260170920
1995 (265) 09 22 05 39 30.5   -6.053   146.543   45  5.8 1995265053930
1995 (266) 09 23 02 34 12.7   -5.968   146.635   27  5.8 1995266023412
1995 (266) 09 23 16 05 49.5   -5.561   104.062   45  5.9 1995266160549
1995 (274) 10 01 15 57 16.1   38.063    30.134   33  5.8 1995274155716
1995 (287) 10 14 20 44 57.4   -6.435   154.556   18  5.2 1995287204457
1995 (288) 10 15 15 04 08.1   -6.514   154.631   14  5.4 1995288150408
1995 (291) 10 18 10 37 26.3   27.929   130.175   28  6.4 1995291103726
1995 (291) 10 18 23 25 58.7   28.203   130.211   27  5.8 1995291232558
1995 (292) 10 19 00 32 06.4   28.164   130.156   33  5.9 1995292003206
1995 (292) 10 19 02 41 36.1   28.094   130.147   19  6.3 1995292024136
1995 (292) 10 19 06 54 35.6   27.944   129.953   33  5.2 1995292065435
1995 (292) 10 19 10 51 11.2   27.802   129.985   28  5.2 1995292105111
1995 (295) 10 22 19 54 47.7   -6.404    98.668   33  5.2 1995295195447
1995 (302) 10 29 18 44 21.1    0.859   125.982   33  5.5 1995302184421
1995 (306) 11 02 22 13 46.0   -6.727   130.289  104  6.0 1995306221346
1995 (309) 11 05 16 29 58.3   -4.920   103.220   36  6.4 1995309162958
1995 (312) 11 08 16 01 19.1    1.290   121.678   19  5.5 1995312160119
1995 (317) 11 13 02 17 51.0    3.588   126.647   33  5.9 1995317021751
1995 (317) 11 13 08 43 14.5   56.100   114.495   21  5.9 1995317084314
1995 (318) 11 14 06 32 55.7   -3.682   101.924   57  5.1 1995318063255
1995 (326) 11 22 04 15 11.9   28.826    34.799   10  6.2 1995326041511
1995 (328) 11 24 17 24 11.8   44.537   149.103   27  6.1 1995328172411
1995 (331) 11 27 14 32 29.0   32.308    48.923   61  5.0 1995331143229
1995 (331) 11 27 15 52 56.9   44.568   149.143   20  6.0 1995331155256
1995 (334) 11 30 15 09 22.4   44.277   145.619  136  5.9 1995334150922
1995 (334) 11 30 23 37 36.3   44.473   149.342   23  5.9 1995334233736
1995 (336) 12 02 17 13 18.6   44.505   149.237   18  6.0 1995336171318
1995 (337) 12 03 18 01 08.9   44.663   149.300   33  6.6 1995337180108
1995 (337) 12 03 18 10 32.3   44.452   149.314   33  5.8 1995337181032
1995 (337) 12 03 18 13 02.2   44.761   150.208   33  5.7 1995337181302
1995 (337) 12 03 18 14 28.3   44.956   150.674   33  6.4 1995337181428
1995 (337) 12 03 18 22 41.9   44.541   150.015   33  5.9 1995337182241
1995 (337) 12 03 19 31 22.6   44.305   149.851   33  5.7 1995337193122
1995 (337) 12 03 19 41 45.2   44.690   150.309   33  5.9 1995337194145
1995 (337) 12 03 19 54 18.7   44.457   149.722   33  5.7 1995337195418
1995 (337) 12 03 21 38 38.7   44.727   150.033   33  6.0 1995337213838
1995 (339) 12 05 06 32 06.0   -9.027   124.670   33  6.0 1995339063206
1995 (339) 12 05 14 54 45.0    1.599   127.331   99  5.8 1995339145445
1995 (339) 12 05 18 49 30.4   39.440    40.153   14  5.5 1995339184930
1995 (339) 12 05 18 52 37.7   39.553    40.190   10  5.3 1995339185237
1995 (344) 12 10 22 23 12.3   44.351   149.742   16  5.7 1995344222312
1995 (344) 12 10 22 48 08.3   44.231   149.801   33  5.7 1995344224808
1995 (350) 12 16 15 09 49.6   29.235   129.392   33  4.7 1995350150949
1995 (353) 12 19 23 28 12.1   -3.703   140.233   63  6.1 1995353232812
1995 (359) 12 25 04 43 24.4   -6.903   129.151  141  6.3 1995359044324
1995 (364) 12 30 12 11 05.6   40.752   143.339   22  5.8 1995364121105
1995 (364) 12 30 12 17 37.0   40.745   143.232   33  5.7 1995364121737
1996 (001) 01 01 08 05 10.8    0.729   119.931   24  6.3 1996001080510
1996 (001) 01 01 09 14 34.1    0.523   119.838   33  5.6 1996001091434
1996 (001) 01 01 09 57 51.3   53.826   159.586   33  5.9 1996001095751
1996 (027) 01 27 17 48 09.3    9.187   126.416   33  5.6 1996027174809
1996 (031) 01 31 20 30 42.3   44.468   149.370   20  5.9 1996031203042
1996 (032) 02 01 07 18 04.2   44.853   146.273  170  5.8 1996032071804
1996 (038) 02 07 07 57 18.1    1.019   120.187   13  5.6 1996038075718
1996 (038) 02 07 21 27 46.5    3.722   122.431  607  5.7 1996038212746
1996 (038) 02 07 21 36 46.2   45.324   149.892   42  6.3 1996038213646
1996 (038) 02 07 22 53 40.0   44.120   149.479   33  5.4 1996038225340
1996 (040) 02 09 17 33 54.2   -6.000   146.629   68  5.6 1996040173354
1996 (043) 02 12 09 08 07.9  -11.044   118.670    8  5.9 1996043090807
1996 (045) 02 14 21 26 56.2   29.246   140.446  141  5.8 1996045212656
1996 (047) 02 16 15 22 58.8   37.353   142.380   40  6.3 1996047152258
1996 (048) 02 17 05 59 30.5   -0.891   136.952   33  6.5 1996048055930
1996 (048) 02 17 08 42 10.2   -0.837   136.588   33  5.4 1996048084210
1996 (048) 02 17 08 54 58.2   -1.210   136.766   33  5.2 1996048085458
1996 (048) 02 17 10 18 02.8   -6.945   125.194  532  5.8 1996048101802
1996 (048) 02 17 14 21 22.3   -0.567   135.840   19  5.8 1996048142122
1996 (048) 02 17 20 17 50.4   -0.897   136.088   33  5.7 1996048201750
1996 (048) 02 17 20 18 07.0   -0.917   136.225   31  6.0 1996048201807
1996 (049) 02 18 02 25 33.3   -1.336   136.464   10  5.9 1996049022533
1996 (053) 02 22 14 59 08.9   45.263   148.542  124  6.3 1996053145908
1996 (055) 02 24 15 52 59.1   -0.869   137.346   33  5.6 1996055155259
1996 (059) 02 28 09 44 10.9    1.756   126.048  115  6.2 1996059094410
1996 (062) 03 02 01 50 04.5   -5.973   146.565   58  6.0 1996062015004
1996 (063) 03 03 02 41 27.5   -0.729   136.563   33  5.5 1996063024127
1996 (064) 03 04 15 59 05.5    2.798   125.167  151  5.8 1996064155905
1996 (065) 03 05 14 52 28.6   24.092   122.215   29  6.1 1996065145228
1996 (065) 03 05 17 32 10.1   24.033   122.241   33  5.6 1996065173210
1996 (069) 03 09 16 15 36.2   43.425   148.009   33  5.6 1996069161536
1996 (069) 03 09 16 17 16.1   43.722   147.829   33  5.7 1996069161716
1996 (072) 03 12 18 43 42.8   48.442    88.143   16  5.6 1996072184342
1996 (076) 03 16 22 04 06.2   28.983   138.944  477  5.9 1996076220406
1996 (077) 03 17 17 58 20.3   -6.269   147.904   33  5.5 1996077175820
1996 (082) 03 22 03 24 20.0   51.221   178.695   20  5.7 1996082032420
1996 (082) 03 22 05 26 59.8   51.269   178.889   33  5.0 1996082052659
1996 (089) 03 29 03 28 56.8   24.141   122.195   33  5.4 1996089032856
1996 (090) 03 30 13 05 17.4   52.214  -168.734   33  5.9 1996090130517
1996 (101) 04 10 05 51 19.8   -5.114   103.200   53  5.0 1996101055119
1996 (102) 04 11 11 24 26.9  -10.803   161.543   42  5.9 1996102112426
1996 (103) 04 12 18 45 52.0   -6.306   154.861   55  5.3 1996103184552
1996 (106) 04 15 14 55 32.6   -6.188   154.832   56  5.7 1996106145532
1996 (109) 04 18 00 01 18.1  -16.107    87.279   10  5.0 1996109000118
1996 (109) 04 18 06 12 57.5   12.816   124.982   33  5.5 1996109061257
1996 (113) 04 22 14 42 32.3   39.165    47.369   29  5.0 1996113144232
1996 (120) 04 29 14 40 41.0   -6.518   154.999   44  6.3 1996120144041
1996 (122) 05 01 09 21 24.2   -6.659   154.848   33  5.5 1996122092124
1996 (122) 05 01 10 05 09.6   -6.741   154.895   33  5.4 1996122100509
1996 (123) 05 02 02 32 35.2   -6.440   154.577   33  5.3 1996123023235
1996 (124) 05 03 03 32 47.1   40.774   109.661   26  5.5 1996124033247
1996 (125) 05 04 16 49 24.8   13.862   146.256   33  5.5 1996125164924
1996 (128) 05 07 08 44 36.6    1.621   126.558   33  5.9 1996128084436
1996 (132) 05 11 09 35 06.3   -3.313   135.856   23  5.4 1996132093506
1996 (132) 05 11 13 43 45.0   -6.605   155.038   33  5.7 1996132134345
1996 (155) 06 03 08 15 39.5   -9.309   157.170   33  5.6 1996155081539
1996 (155) 06 03 10 50 10.7   -9.320   157.239   10  5.8 1996155105010
1996 (157) 06 05 01 06 08.3   -4.537   101.934   33  5.0 1996157010608
1996 (158) 06 06 17 35 38.1  -41.329    80.666   20  5.5 1996158173538
1996 (160) 06 08 23 19 15.1   51.491  -178.128   33  5.9 1996160231915
1996 (161) 06 09 01 12 16.7   17.444   145.458  149  6.0 1996161011216
1996 (162) 06 10 04 03 35.4   51.564  -177.632   33  6.6 1996162040335
1996 (162) 06 10 15 24 56.0   51.478  -176.847   26  5.9 1996162152456
1996 (163) 06 11 18 22 55.7   12.614   125.154   33  6.0 1996163182255
1996 (166) 06 14 15 04 40.7   12.811   125.055   28  5.6 1996166150440
1996 (169) 06 17 11 22 18.5   -7.137   122.589  587  6.6 1996169112218
1996 (173) 06 21 13 57 10.0   51.568   159.119   20  6.0 1996173135710
1996 (174) 06 22 14 50 07.5   51.398   159.239   33  5.6 1996174145007
1996 (175) 06 23 12 45 06.9   51.586   159.509   33  5.3 1996175124506
1996 (180) 06 28 20 45 30.5    5.953   125.926  138  5.5 1996180204530
1996 (181) 06 29 04 46 28.0   -2.767   139.126   33  5.4 1996181044628
1996 (181) 06 29 14 08 25.0   -2.801   139.268   33  5.2 1996181140825
1996 (182) 06 30 11 32 35.8   51.726   159.812   33  5.5 1996182113235
1996 (188) 07 06 21 36 28.7   21.968   142.830  241  5.8 1996188213628
1996 (192) 07 10 00 49 26.4   -4.267   102.819  108  5.1 1996192004926
1996 (197) 07 15 16 51 22.0   18.726   145.628  176  5.9 1996197165122
1996 (198) 07 16 03 48 28.3   56.084   164.998   33  5.8 1996198034828
1996 (198) 07 16 10 07 36.6    1.016   120.254   33  6.0 1996198100736
1996 (201) 07 19 02 28 49.3   39.821    54.085   33  5.0 1996201022849
1996 (202) 07 20 00 00 41.8   36.147    27.103   33  5.7 1996202000041
1996 (202) 07 20 09 14 04.1   13.856   120.671  110  5.5 1996202091404
1996 (204) 07 22 14 19 35.7    1.000   120.450   33  6.0 1996204141935
1996 (204) 07 22 14 31 05.1    1.036   120.459   33  5.6 1996204143105
1996 (210) 07 28 10 40 43.6    1.006   120.196   33  5.5 1996210104043
1996 (212) 07 30 17 38 30.7   14.509   119.954   33  6.1 1996212173830
1996 (214) 08 01 04 08 23.2   -0.018   122.939  148  5.5 1996214040823
1996 (215) 08 02 12 55 29.3  -10.769   161.445   33  6.2 1996215125529
1996 (221) 08 08 23 12 35.1   11.977   125.677   33  5.4 1996221231235
1996 (223) 08 10 11 20 19.7   -4.938   152.131   33  5.6 1996223112019
1996 (223) 08 10 18 12 17.3   38.909   140.530   10  6.0 1996223181217
1996 (225) 08 12 17 00 27.8   -0.266   125.094   42  5.7 1996225170027
1996 (227) 08 14 01 55 02.5   40.754    35.340   10  5.3 1996227015502
1996 (227) 08 14 02 59 41.1   40.801    35.370   10  5.2 1996227025941
1996 (232) 08 19 06 24 11.0  -41.523    80.416   10  5.4 1996232062411
1996 (235) 08 22 05 35 42.0   -7.124   123.275  595  5.8 1996235053542
1996 (235) 08 22 19 37 09.4  -17.315    66.762   10  4.8 1996235193709
1996 (240) 08 27 10 50 49.4  -36.883    78.486   10  5.3 1996240105049
1996 (246) 09 02 20 41 52.9   12.320   143.809   33  5.7 1996246204152
1996 (249) 09 05 20 44 09.2   42.803    17.936   10  5.6 1996249204409
1996 (249) 09 05 23 42 06.1   21.898   121.498   20  6.4 1996249234206
1996 (250) 09 06 12 39 41.4   -7.271   155.824   33  5.5 1996250123941
1996 (250) 09 06 17 03 46.8   -7.310   155.887   33  5.6 1996250170346
1996 (255) 09 11 02 37 14.9   35.537   140.943   55  6.1 1996255023714
1996 (258) 09 14 02 53 24.5   -0.006   122.795  181  5.5 1996258025324
1996 (259) 09 15 18 17 38.6   -6.488   154.799   50  5.7 1996259181738
1996 (260) 09 16 05 47 32.2   -3.420   146.351   33  5.5 1996260054732
1996 (264) 09 20 00 03 18.3    9.597   126.293   33  5.8 1996264000318
1996 (264) 09 20 04 10 27.6    9.463   126.284   33  5.8 1996264041027
1996 (264) 09 20 04 11 04.5    9.454   126.334   33  5.9 1996264041104
1996 (264) 09 20 12 24 42.1    9.446   126.544   33  5.4 1996264122442
1996 (264) 09 20 19 24 57.2    9.570   126.643   33  5.5 1996264192457
1996 (264) 09 20 21 25 20.3    9.552   126.529   33  5.2 1996264212520
1996 (265) 09 21 01 23 33.3   -6.155   146.174   10  5.7 1996265012333
1996 (269) 09 25 09 26 45.0    9.694   126.406   33  5.5 1996269092645
1996 (269) 09 25 21 16 09.6   -9.295   108.725   33  5.2 1996269211609
1996 (272) 09 28 14 10 42.4   10.038   125.369  234  5.6 1996272141042
1996 (276) 10 02 09 48 01.5   11.761   125.484   33  6.0 1996276094801
1996 (282) 10 08 01 36 53.9  -45.778    96.025   10  5.2 1996282013653
1996 (283) 10 09 13 10 52.1   34.556    32.126   33  6.4 1996283131052
1996 (283) 10 09 14 19 37.5   34.591    32.208   33  5.7 1996283141937
1996 (283) 10 09 20 44 00.5   14.496   120.066   61  5.0 1996283204400
1996 (284) 10 10 01 10 22.4   34.560    32.214   33  5.4 1996284011022
1996 (286) 10 12 15 36 01.2   -7.250   155.471   33  5.4 1996286153601
1996 (288) 10 14 00 07 58.0   -7.228   155.488   33  5.4 1996288000758
1996 (288) 10 14 23 26 20.0   -7.133   155.568   24  5.9 1996288232620
1996 (291) 10 17 16 15 25.7    5.704   125.945  116  5.7 1996291161525
1996 (292) 10 18 10 50 20.8   30.568   131.093   10  6.0 1996292105020
1996 (292) 10 18 11 19 18.6    0.389   126.221   44  5.6 1996292111918
1996 (293) 10 19 14 44 40.7   31.885   131.468   22  6.3 1996293144440
1996 (298) 10 24 19 31 53.9   66.986  -173.229   19  6.0 1996298193153
1996 (306) 11 01 03 32 34.6   -1.296   149.525   33  5.7 1996306033234
1996 (307) 11 02 00 08 50.6   -7.558   117.301  301  5.5 1996307000850
1996 (309) 11 04 12 53 36.3    9.732   126.414   33  5.4 1996309125336
1996 (309) 11 04 13 21 15.8    9.718   126.420   33  5.6 1996309132115
1996 (310) 11 05 12 29 45.9    9.756   126.360   33  5.7 1996310122945
1996 (311) 11 06 20 00 58.8   27.999   143.538    9  6.4 1996311200058
1996 (312) 11 07 06 10 16.7    9.785   126.340   33  5.7 1996312061016
1996 (325) 11 20 02 27 47.9   34.350   141.132   33  5.9 1996325022747
1996 (325) 11 20 17 58 04.6   16.348   120.527   33  5.7 1996325175804
1996 (326) 11 21 07 43 38.3    6.659   126.463   52  5.8 1996326074338
1996 (337) 12 02 22 17 59.2   31.789   131.314   49  6.0 1996337221759
1996 (338) 12 03 21 22 57.3   -9.789   108.268   33  5.1 1996338212257
1996 (344) 12 09 03 54 16.3   -7.936   107.489   50  5.5 1996344035416
1996 (348) 12 13 09 56 01.5   -6.230   104.104   69  5.2 1996348095601
1996 (357) 12 22 14 53 27.6   43.207   138.920  226  6.0 1996357145327
1996 (359) 12 24 22 16 26.1   34.294    38.712   29  5.1 1996359221626
1996 (361) 12 26 20 48 23.2   -2.236   138.938   33  6.0 1996361204823
1996 (365) 12 30 19 41 52.0   -3.993   128.104   33  6.0 1996365194152
1997 (001) 01 01 22 32 32.2   -0.127   123.823  115  5.9 1997001223232
1997 (010) 01 10 18 32 41.5   -5.885   105.584   33  5.0 1997010183241
1997 (017) 01 17 11 20 22.0   -8.899   123.542  110  6.2 1997017112022
1997 (017) 01 17 15 53 13.4   28.814   129.953   33  5.9 1997017155313
1997 (019) 01 19 02 27 13.6   -5.028   108.403  651  5.1 1997019022713
1997 (039) 02 08 01 55 55.7   -8.473   158.957  101  5.8 1997039015555
1997 (041) 02 10 19 25 26.9   -9.641   119.510   33  5.6 1997041192526
1997 (046) 02 15 12 11 14.7   -7.782   117.413  274  5.6 1997046121114
1997 (057) 02 26 18 27 10.6  -47.497   100.282   10  5.2 1997057182710
1997 (059) 02 28 12 57 18.6   38.075    48.050   10  5.5 1997059125718
1997 (063) 03 04 17 24 17.2  -10.559    66.297   10  5.0 1997063172417
1997 (068) 03 09 17 40 18.3   11.696    43.550   10  4.8 1997068174018
1997 (070) 03 11 19 21 23.0    8.134   126.345   88  5.7 1997070192123
1997 (070) 03 11 19 22 00.1    7.742   127.647   10  6.3 1997070192200
1997 (076) 03 17 08 05 48.4   -6.614   105.514   33  5.8 1997076080548
1997 (085) 03 26 02 08 57.2   51.277   179.533   33  6.0 1997085020857
1997 (085) 03 26 08 31 47.1   31.920   130.429   10  5.6 1997085083147
1997 (085) 03 26 18 18 34.7    2.803   128.237  126  5.7 1997085181834
1997 (095) 04 05 12 23 30.5   -6.485   147.408   69  6.1 1997095122330
1997 (097) 04 07 13 14 17.4    0.344   125.299   60  5.5 1997097131417
1997 (098) 04 08 18 07 09.5   18.315   120.953   70  6.0 1997098180709
1997 (111) 04 21 14 01 24.3   -7.382   125.715  432  5.9 1997111140124
1997 (112) 04 22 05 55 59.3   -3.370   102.144  107  5.6 1997112055559
1997 (113) 04 23 19 44 28.4   13.986   144.901  100  6.2 1997113194428
1997 (118) 04 28 12 07 37.8  -42.504    42.686   10  5.7 1997118120737
1997 (125) 05 05 05 44 17.3   14.906   119.889   33  5.3 1997125054417
1997 (127) 05 07 16 16 46.4   40.338    51.633   50  5.4 1997127161646
1997 (128) 05 08 13 29 24.6   51.717  -170.799   33  5.8 1997128132924
1997 (129) 05 09 09 06 37.2   13.199   144.704   29  5.9 1997129090637
1997 (130) 05 10 18 53 52.6   -3.150   101.547   33  5.5 1997130185352
1997 (130) 05 10 21 14 16.1   -5.909   110.676  600  5.0 1997130211416
1997 (132) 05 12 13 45 26.3   10.184   121.657   33  5.5 1997132134526
1997 (133) 05 13 05 38 30.2   31.824   130.281   33  5.6 1997133053830
1997 (142) 05 22 13 21 36.3   18.915   121.336   33  5.7 1997142132136
1997 (163) 06 12 12 07 33.6   -5.951   147.026   33  5.7 1997163120733
1997 (168) 06 17 21 03 40.2   51.347  -179.332   33  6.4 1997168210340
1997 (175) 06 24 23 04 53.1   -1.924   127.899   33  5.9 1997175230453
1997 (191) 07 10 14 53 11.5  -11.256   118.001   33  5.4 1997191145311
1997 (192) 07 11 09 55 12.5   -5.697   110.796  574  5.6 1997192095512
1997 (195) 07 14 16 09 35.5   43.249   146.381   33  5.9 1997195160935
1997 (196) 07 15 11 05 31.3   24.711   122.448  102  5.6 1997196110531
1997 (209) 07 28 06 46 55.7   22.357   142.733   33  5.7 1997209064655
1997 (222) 08 10 09 20 30.9  -16.013   124.329   10  5.9 1997222092030
1997 (225) 08 13 04 45 04.8   25.030   125.770   55  6.0 1997225044504
1997 (226) 08 14 07 49 50.7  -20.322    66.984   10  5.2 1997226074950
1997 (229) 08 17 04 53 43.8   -8.472   120.549   73  5.6 1997229045343
1997 (232) 08 20 13 51 16.6  -41.715    80.134   10  5.6 1997232135116
1997 (236) 08 24 18 58 38.0   21.628   120.400   33  5.3 1997236185838
1997 (239) 08 27 13 42 52.7   -6.015   148.568   33  5.7 1997239134252
1997 (241) 08 29 08 14 09.9   -3.562   144.362   22  5.8 1997241081409
1997 (256) 09 13 06 46 02.9   -4.445   102.843   97  5.0 1997256064602
1997 (258) 09 15 13 05 42.7    8.097   126.642   50  5.8 1997258130542
1997 (260) 09 17 14 50 35.3    2.109   126.597   33  5.7 1997260145035
1997 (264) 09 21 18 13 22.7   -7.360    30.370   10  5.7 1997264181322
1997 (268) 09 25 14 20 48.9  -13.761    66.248   10  5.3 1997268142048
1997 (269) 09 26 09 40 26.3   43.084    12.812   10  5.7 1997269094026
1997 (269) 09 26 15 48 34.2   -5.385   128.994  253  5.8 1997269154834
1997 (271) 09 28 01 38 28.6   -3.776   119.727   33  5.6 1997271013828
1997 (273) 09 30 06 27 24.7   31.959   141.878   10  5.5 1997273062724
1997 (278) 10 05 19 00 02.3    5.679   125.453  223  5.6 1997278190002
1997 (279) 10 06 12 30 05.8    9.790   125.779  105  5.9 1997279123005
1997 (279) 10 06 20 52 44.6   -9.302   158.691   33  5.7 1997279205244
1997 (283) 10 10 18 45 52.3   -9.321   158.732   33  5.4 1997283184552
1997 (286) 10 13 13 39 37.4   36.379    22.071   24  6.2 1997286133937
1997 (288) 10 15 03 11 09.0   51.430  -177.877   22  5.7 1997288031109
1997 (296) 10 23 01 16 01.8   -8.666   117.017  160  5.5 1997296011601
1997 (302) 10 29 04 55 58.7   -6.380   104.013   45  5.3 1997302045558
1997 (307) 11 03 19 17 58.9   -6.736   129.021  215  5.7 1997307191758
1997 (314) 11 10 23 06 44.2   31.187   140.486   86  5.8 1997314230644
1997 (318) 11 14 21 38 51.6   38.859    25.795   17  5.6 1997318213851
1997 (319) 11 15 07 05 16.6   43.813   145.019  161  5.8 1997319070516
1997 (320) 11 16 08 18 16.3   -4.956   103.189   58  5.5 1997320081816
1997 (322) 11 18 13 07 41.7   37.570    20.656   33  5.9 1997322130741
1997 (329) 11 25 12 14 33.6    1.241   122.536   24  6.1 1997329121433
1997 (331) 11 27 17 34 30.3   41.849    45.332   37  5.3 1997331173430
1997 (339) 12 05 11 26 54.6   54.841   162.035   33  6.3 1997339112654
1997 (339) 12 05 11 35 19.5   53.909   161.550   33  5.7 1997339113519
1997 (339) 12 05 13 56 12.3    0.656   125.114   89  5.5 1997339135612
1997 (339) 12 05 18 48 22.7   53.752   161.746   33  6.2 1997339184822
1997 (340) 12 06 10 59 10.0   53.972   161.909   33  5.7 1997340105910
1997 (341) 12 07 17 56 18.7   54.658   162.882   33  5.6 1997341175618
1997 (349) 12 15 10 26 58.7  -20.148    67.624   10  5.2 1997349102658
1997 (349) 12 15 10 28 06.0   -6.042   149.867   33  5.3 1997349102806
1997 (350) 12 16 23 50 45.2   -5.873   147.167  103  5.7 1997350235045
1997 (351) 12 17 04 38 51.4   51.187   178.871   20  5.8 1997351043851
1997 (354) 12 20 06 33 42.7   -6.327   104.085   71  5.0 1997354063342
1997 (356) 12 22 02 05 50.0   -5.495   147.867  179  6.3 1997356020550
1997 (356) 12 22 16 49 52.9   14.901   119.921   33  5.3 1997356164952
1998 (001) 01 01 06 11 22.6   23.913   141.907   95  6.4 1998001061122
1998 (001) 01 01 23 42 16.1   -6.338   154.870   46  5.6 1998001234216
1998 (010) 01 10 03 50 41.5   41.083   114.500   30  5.8 1998010035041
