          Origin time           Lat      Lon     Dp  Mag
1990 (197) 07 16 07 26 34.6   15.679   121.172   25  6.5 1990197072634
1990 (197) 07 16 07 38 11.7   16.619   120.404   33  5.3 1990197073811
1990 (197) 07 16 07 40 36.8   16.857   120.350   33  5.3 1990197074036
1990 (197) 07 16 08 00 52.4   16.499   120.240   33  5.2 1990197080052
1990 (197) 07 16 08 30 32.9   16.165   120.179   33  5.0 1990197083032
1990 (197) 07 16 09 29 06.6   16.385   120.412   18  5.6 1990197092906
1990 (197) 07 16 09 39 21.7   16.521   120.930   15  5.6 1990197093921
1990 (197) 07 16 13 31 13.2   16.285   120.457   12  5.5 1990197133113
1990 (197) 07 16 19 14 51.7   24.249   121.818   18  5.5 1990197191451
1990 (197) 07 16 21 27 14.8   16.470   120.317   33  5.0 1990197212714
1990 (198) 07 17 18 06 35.3   16.433   120.838   18  5.5 1990198180635
1990 (198) 07 17 21 14 43.8   16.495   120.981   23  6.1 1990198211443
1990 (199) 07 18 17 21 47.0   -6.820   130.601   97  5.7 1990199172147
1990 (202) 07 21 07 23 35.8   16.400   120.919   26  5.4 1990202072335
1990 (204) 07 23 04 46 16.4   -5.724   110.927  582  5.1 1990204044616
1990 (204) 07 23 18 02 50.9   11.269   122.348   16  5.5 1990204180250
1990 (204) 07 23 22 20 42.0   16.100   119.640   18  5.0 1990204222042
1990 (205) 07 24 07 45 59.4   -4.811   102.750   79  5.0 1990205074559
1990 (214) 08 02 15 03 27.6   -6.460   105.396   47  5.4 1990214150327
1990 (215) 08 03 09 15 06.1   47.963    84.961   33  6.0 1990215091506
1990 (217) 08 05 01 34 55.8   29.551   137.630  496  6.0 1990217013455
1990 (217) 08 05 03 36 22.2   36.310   141.072   26  5.8 1990217033622
1990 (222) 08 10 15 44 31.3    0.333   126.175   53  5.8 1990222154431
1990 (229) 08 17 13 07 17.4  -11.164   161.997   29  5.9 1990229130717
1990 (230) 08 18 13 55 07.5  -40.229    78.308   10  5.6 1990230135507
1990 (232) 08 20 00 03 52.7   46.189   142.289  309  5.9 1990232000352
1990 (237) 08 25 15 47 53.8    0.525   126.084   11  6.0 1990237154753
1990 (239) 08 27 15 17 12.0   -6.870   125.452  506  5.8 1990239151712
1990 (245) 09 02 13 05 07.2   -3.197   148.225   22  5.4 1990245130507
1990 (248) 09 05 07 11 05.0    8.461   126.506   84  5.5 1990248071105
1990 (250) 09 07 18 05 26.0   -1.078   124.582   59  5.5 1990250180526
1990 (251) 09 08 12 11 23.7   -6.788   106.178  115  5.1 1990251121123
1990 (252) 09 09 05 35 45.9   -5.178   151.729   73  5.8 1990252053545
1990 (254) 09 11 14 09 02.5   22.692   120.909   33  5.8 1990254140902
1990 (254) 09 11 15 26 10.7   -3.528   101.638   65  5.1 1990254152610
1990 (255) 09 12 10 21 49.2    6.355   126.379   90  5.6 1990255102149
1990 (260) 09 17 11 57 24.1   -5.917   103.796   59  5.7 1990260115724
1990 (265) 09 22 20 53 57.5   15.469   119.327   33  4.7 1990265205357
1990 (266) 09 23 20 33 49.7   -6.726   130.373   33  4.9 1990266203349
1990 (266) 09 23 21 13 07.4   33.267   138.643   10  6.0 1990266211307
1990 (266) 09 23 22 09 04.2   33.189   138.685   10  5.6 1990266220904
1990 (269) 09 26 12 47 14.6   -5.456   102.271   46  5.3 1990269124714
1990 (269) 09 26 13 24 18.9   -3.989   102.385   58  5.6 1990269132418
1990 (273) 09 30 19 05 02.4   24.248   125.215   35  5.9 1990273190502
1990 (282) 10 09 18 05 10.1   -3.551   100.830   25  5.6 1990282180510
1990 (288) 10 15 19 50 24.0  -10.047   114.607   70  5.8 1990288195024
1990 (289) 10 16 06 13 13.7   49.043   155.076   82  6.0 1990289061313
1990 (298) 10 25 11 01 38.7    8.307   126.462   44  5.9 1990298110138
1990 (298) 10 25 16 33 33.4   -6.189   154.960  142  5.8 1990298163333
1990 (310) 11 06 20 14 29.7   53.452   169.871   24  6.3 1990310201429
1990 (311) 11 07 14 36 27.7    5.643   125.247   77  5.5 1990311143627
1990 (312) 11 08 14 10 42.2   -8.549   108.939   73  5.4 1990312141042
1990 (312) 11 08 14 56 00.4  -13.809    66.221   10  5.1 1990312145600
1990 (317) 11 13 02 35 07.8   46.104   138.637   14  6.2 1990317023507
1990 (325) 11 21 01 48 26.3   51.650  -171.331   33  5.8 1990325014826
1990 (326) 11 22 20 49 06.7   -5.575   150.993   28  6.0 1990326204906
1990 (327) 11 23 07 41 57.9    5.538   125.851  125  5.7 1990327074157
1990 (328) 11 24 01 58 25.4   -4.139   102.363   52  5.2 1990328015825
1990 (330) 11 26 09 57 11.3   44.299    97.520   12  5.0 1990330095711
1990 (339) 12 05 16 08 51.4   -5.264   131.370   75  5.9 1990339160851
1990 (340) 12 06 01 16 55.1  -16.690    66.764   10  5.0 1990340011655
1990 (344) 12 10 09 34 33.0   -5.940   142.282   32  5.8 1990344093433
1990 (347) 12 13 03 01 48.0   23.916   121.636   12  5.9 1990347030148
1990 (347) 12 13 12 26 40.7    1.116   124.034   33  6.0 1990347122640
1990 (347) 12 13 19 50 17.8   23.722   121.627   10  5.9 1990347195017
1990 (347) 12 13 23 18 59.3   23.681   121.625   10  5.4 1990347231859
1990 (350) 12 16 15 45 40.7   41.361    43.715   33  5.2 1990350154540
1990 (353) 12 19 23 00 34.8   -5.837   102.259   33  5.1 1990353230034
1990 (355) 12 21 06 57 42.9   41.004    22.300   13  5.8 1990355065742
1990 (358) 12 24 10 12 13.0   -5.376   151.490   53  5.7 1990358101213
1990 (359) 12 25 14 21 53.2   23.766   121.592   17  5.6 1990359142153
1990 (361) 12 27 21 12 49.3   -4.305   102.810  137  5.3 1990361211249
1990 (362) 12 28 22 32 17.2  -14.875    66.777   17  6.0 1990362223217
1990 (363) 12 29 15 34 16.0   32.602    47.896   57  5.1 1990363153416
1990 (364) 12 30 06 22 17.0   -0.072   123.110  181  5.5 1990364062217
1990 (364) 12 30 19 14 18.9   -5.097   150.967  178  6.6 1990364191418
1991 (003) 01 03 13 18 49.2   -7.179   148.540   14  6.0 1991003131849
1991 (003) 01 03 13 29 19.2   -7.171   148.441   38  5.7 1991003132919
1991 (009) 01 09 15 08 53.5   -5.396   151.837   27  5.9 1991009150853
1991 (013) 01 13 11 53 36.7   40.558   105.793   16  5.2 1991013115336
1991 (018) 01 18 01 36 26.6   23.692   121.346   10  5.9 1991018013626
1991 (018) 01 18 10 45 18.4  -51.145   139.415   10  5.7 1991018104518
1991 (018) 01 18 10 49 56.9   23.747   121.290    8  5.0 1991018104956
1991 (019) 01 19 22 56 26.0   -5.576   148.331  163  5.9 1991019225626
1991 (023) 01 23 01 12 29.7   51.965   178.838  108  5.7 1991023011229
1991 (025) 01 25 17 38 36.5   -2.152   139.020   22  5.9 1991025173836
1991 (025) 01 25 17 40 16.4   -2.275   139.206   33  6.4 1991025174016
1991 (026) 01 26 00 19 12.8   -3.515   102.630  112  5.5 1991026001912
1991 (030) 01 30 11 17 02.8   -7.317   106.729   33  5.0 1991030111702
1991 (038) 02 07 04 06 10.4   -6.103   103.358   33  5.0 1991038040610
1991 (040) 02 09 16 18 58.3   -9.929   159.139   10  6.4 1991040161858
1991 (040) 02 09 16 30 32.5   -9.858   159.174   10  5.9 1991040163032
1991 (047) 02 16 01 23 40.4   48.268   154.328   38  6.3 1991047012340
1991 (049) 02 18 02 37 25.1    8.870   126.480   23  6.0 1991049023725
1991 (051) 02 20 05 49 24.3   -8.575   108.565   33  5.1 1991051054924
1991 (051) 02 20 21 46 22.5   -4.659   143.256   91  5.7 1991051214622
1991 (052) 02 21 02 35 34.0   58.427  -175.450   20  6.2 1991052023534
1991 (064) 03 05 22 35 48.1   -3.984   102.369   58  5.9 1991064223548
1991 (067) 03 08 11 36 28.4   60.904   167.023   13  6.4 1991067113628
1991 (067) 03 08 11 54 57.8   60.834   167.057   10  5.9 1991067115457
1991 (067) 03 08 11 58 12.7   60.682   166.937   10  5.7 1991067115812
1991 (067) 03 08 12 29 09.6   61.528   166.365   10  4.9 1991067122909
1991 (067) 03 08 16 05 00.6   15.520   119.178   42  5.1 1991067160500
1991 (070) 03 11 21 15 56.4  -51.154    29.255   10  5.8 1991070211556
1991 (071) 03 12 06 04 05.0   23.161   120.053   17  5.6 1991071060405
1991 (084) 03 25 18 02 41.5   39.887   113.923   10  5.1 1991084180241
1991 (085) 03 26 03 58 23.2   21.704   121.789   17  5.8 1991085035823
1991 (085) 03 26 10 24 23.9   21.867   121.610   10  5.3 1991085102423
1991 (091) 04 01 05 25 27.0   -4.919   152.018   89  6.0 1991091052527
1991 (104) 04 14 08 08 55.7   27.155   127.419   83  6.2 1991104080855
1991 (104) 04 14 18 22 36.2   -4.379   102.785  104  5.2 1991104182236
1991 (109) 04 19 21 48 35.7   -6.900   129.562  127  5.9 1991109214835
1991 (114) 04 24 04 57 14.8    9.041   126.739   13  5.6 1991114045714
1991 (116) 04 26 17 36 54.5    7.525   126.577   74  5.5 1991116173654
1991 (117) 04 27 12 12 20.4   -4.496   102.821  107  5.1 1991117121220
1991 (119) 04 29 09 12 48.1   42.453    43.673   17  6.2 1991119091248
