
Solution: Pl(h)     
            Endmember fractions:
            abh      an      
ab24        0.240    0.760
ab27        0.273    0.727
ab30        0.306    0.694
ab33        0.338    0.662
ab37        0.371    0.629
ab40        0.404    0.596
ab43        0.436    0.564
ab46        0.469    0.531
ab50        0.502    0.498
ab53        0.534    0.466
ab56        0.567    0.433
ab59        0.600    0.400
ab63        0.632    0.368
ab66        0.665    0.335
ab69        0.698    0.302
ab73        0.730    0.270
ab76        0.763    0.237
ab79        0.796    0.204
ab80        0.802    0.198

Solution: O(HP)     
            Endmember fractions:
            fo       fa      
fo88        0.881    0.119
fo91        0.914    0.086
fo94        0.947    0.053
fo98.0      0.980    0.020
fo99.1      0.991    0.009

Solution: Sp(HP)    
            Endmember fractions:
            sp       herc    
sp68        0.681    0.319
sp71        0.714    0.286
sp74        0.747    0.253
sp78        0.780    0.220
sp80        0.808    0.192

Solution: Opx(HP)   
            Endmember fractions:
            mgts     en       fs       * see footnotes 1 & 2
Op89__0     0.000    0.892    0.108
Op92__0     0.000    0.925    0.075
Op95__0     0.000    0.951    0.049
Op89__3     0.033    0.859    0.105
Op92__3     0.033    0.892    0.073
Op95__3     0.033    0.917    0.048
Op89__6     0.066    0.825    0.101
Op92__6     0.066    0.859    0.070
Op95__6     0.066    0.884    0.046
Op89__9     0.100    0.792    0.098
Op92__9     0.100    0.825    0.068
Op95__9     0.100    0.851    0.045
Op89_13     0.133    0.759    0.094
Op92_13     0.133    0.792    0.065
Op95_13     0.133    0.818    0.043
Op89_16     0.166    0.726    0.090
Op92_16     0.166    0.759    0.063
Op95_16     0.166    0.785    0.041
Op89_16     0.170    0.722    0.090
Op92_16     0.170    0.755    0.062
Op95_16     0.170    0.781    0.041

1 - Although the bulk composition of pseudocompounds for this solution is fixed,
 the proportions of its endmembers may vary due to respeciation.


2 - Proportions output here may sum to <1 because the ordered species
may have non-zero initial proportions.


Solution: Cpx(HP)   
            Endmember fractions:
            cats     jd       hed      di      
Cp_076_0    0.000    0.767    0.000    0.233
Cp_076_3    0.000    0.767    0.033    0.200
Cp_076_6    0.000    0.767    0.067    0.167
Cp_076_7    0.000    0.767    0.076    0.157
Cp_080_0    0.000    0.800    0.000    0.200
Cp_080_3    0.000    0.800    0.033    0.167
Cp_080_6    0.000    0.800    0.067    0.133
Cp_080_7    0.000    0.800    0.076    0.124
Cp_083_0    0.000    0.833    0.000    0.167
Cp_083_3    0.000    0.833    0.033    0.133
Cp_083_6    0.000    0.833    0.067    0.100
Cp_083_7    0.000    0.833    0.076    0.091
Cp_086_0    0.000    0.867    0.000    0.133
Cp_086_3    0.000    0.867    0.033    0.100
Cp_086_6    0.000    0.867    0.067    0.067
Cp_086_7    0.000    0.867    0.076    0.057
Cp_089_0    0.000    0.900    0.000    0.100
Cp_089_3    0.000    0.900    0.033    0.067
Cp_089_6    0.000    0.900    0.067    0.033
Cp_089_7    0.000    0.900    0.076    0.024
Cp_093_0    0.000    0.933    0.000    0.067
Cp_093_3    0.000    0.933    0.033    0.033
Cp_093_6    0.000    0.933    0.067    0.000
Cp_093_0    0.000    0.934    0.000    0.066
Cp_093_3    0.000    0.934    0.033    0.033
Cp_093_6    0.000    0.934    0.066    0.000
Cp_0_0_0    0.001    0.000    0.000    0.999
Cp_0_0_3    0.001    0.000    0.033    0.966
Cp_0_0_6    0.001    0.000    0.067    0.933
Cp_0_0_7    0.001    0.000    0.076    0.923
Cp_0_3_0    0.001    0.033    0.000    0.966
Cp_0_3_3    0.001    0.033    0.033    0.933
Cp_0_3_6    0.001    0.033    0.067    0.899
Cp_0_3_7    0.001    0.033    0.076    0.890
Cp_0_6_0    0.001    0.067    0.000    0.933
Cp_0_6_3    0.001    0.067    0.033    0.899
Cp_0_6_6    0.001    0.067    0.067    0.866
Cp_0_6_7    0.001    0.067    0.076    0.857
Cp_010_0    0.001    0.100    0.000    0.899
Cp_010_3    0.001    0.100    0.033    0.866
Cp_010_6    0.001    0.100    0.067    0.833
Cp_010_7    0.001    0.100    0.076    0.823
Cp_013_0    0.001    0.133    0.000    0.866
Cp_013_3    0.001    0.133    0.033    0.833
Cp_013_6    0.001    0.133    0.067    0.799
Cp_013_7    0.001    0.133    0.076    0.790
Cp_016_0    0.001    0.167    0.000    0.833
Cp_016_3    0.001    0.167    0.033    0.799
Cp_016_6    0.001    0.167    0.067    0.766
Cp_016_7    0.001    0.167    0.076    0.757
Cp_020_0    0.001    0.200    0.000    0.799
Cp_020_3    0.001    0.200    0.033    0.766
Cp_020_6    0.001    0.200    0.067    0.733
Cp_020_7    0.001    0.200    0.076    0.723
Cp_023_0    0.001    0.233    0.000    0.766
Cp_023_3    0.001    0.233    0.033    0.733
Cp_023_6    0.001    0.233    0.067    0.699
Cp_023_7    0.001    0.233    0.076    0.690
Cp_026_0    0.001    0.267    0.000    0.733
Cp_026_3    0.001    0.267    0.033    0.699
Cp_026_6    0.001    0.267    0.067    0.666
Cp_026_7    0.001    0.267    0.076    0.657
Cp_030_0    0.001    0.300    0.000    0.699
Cp_030_3    0.001    0.300    0.033    0.666
Cp_030_6    0.001    0.300    0.067    0.633
Cp_030_7    0.001    0.300    0.076    0.623
Cp_033_0    0.001    0.333    0.000    0.666
Cp_033_3    0.001    0.333    0.033    0.633
Cp_033_6    0.001    0.333    0.067    0.599
Cp_033_7    0.001    0.333    0.076    0.590
Cp_036_0    0.001    0.367    0.000    0.633
Cp_036_3    0.001    0.367    0.033    0.599
Cp_036_6    0.001    0.367    0.067    0.566
Cp_036_7    0.001    0.367    0.076    0.557
Cp_040_0    0.001    0.400    0.000    0.599
Cp_040_3    0.001    0.400    0.033    0.566
Cp_040_6    0.001    0.400    0.067    0.533
Cp_040_7    0.001    0.400    0.076    0.523
Cp_043_0    0.001    0.433    0.000    0.566
Cp_043_3    0.001    0.433    0.033    0.533
Cp_043_6    0.001    0.433    0.067    0.499
Cp_043_7    0.001    0.433    0.076    0.490
Cp_046_0    0.001    0.467    0.000    0.533
Cp_046_3    0.001    0.467    0.033    0.499
Cp_046_6    0.001    0.467    0.067    0.466
Cp_046_7    0.001    0.467    0.076    0.457
Cp_049_0    0.001    0.500    0.000    0.499
Cp_049_3    0.001    0.500    0.033    0.466
Cp_049_6    0.001    0.500    0.067    0.433
Cp_049_7    0.001    0.500    0.076    0.423
Cp_053_0    0.001    0.533    0.000    0.466
Cp_053_3    0.001    0.533    0.033    0.433
Cp_053_6    0.001    0.533    0.067    0.399
Cp_053_7    0.001    0.533    0.076    0.390
Cp_056_0    0.001    0.567    0.000    0.433
Cp_056_3    0.001    0.567    0.033    0.399
Cp_056_6    0.001    0.567    0.067    0.366
Cp_056_7    0.001    0.567    0.076    0.357
Cp_060_0    0.001    0.600    0.000    0.399
Cp_060_3    0.001    0.600    0.033    0.366
Cp_060_6    0.001    0.600    0.067    0.333
Cp_060_7    0.001    0.600    0.076    0.323
Cp_063_0    0.001    0.633    0.000    0.366
Cp_063_3    0.001    0.633    0.033    0.333
Cp_063_6    0.001    0.633    0.067    0.299
Cp_063_7    0.001    0.633    0.076    0.290
Cp_066_0    0.001    0.667    0.000    0.333
Cp_066_3    0.001    0.667    0.033    0.299
Cp_066_6    0.001    0.667    0.067    0.266
Cp_066_7    0.001    0.667    0.076    0.257
Cp_070_0    0.001    0.700    0.000    0.299
Cp_070_3    0.001    0.700    0.033    0.266
Cp_070_6    0.001    0.700    0.067    0.233
Cp_070_7    0.001    0.700    0.076    0.223
Cp_073_0    0.001    0.733    0.000    0.266
Cp_073_3    0.001    0.733    0.033    0.233
Cp_073_6    0.001    0.733    0.067    0.199
Cp_073_7    0.001    0.733    0.076    0.190
Cp_076_0    0.001    0.767    0.000    0.233
Cp_076_3    0.001    0.767    0.033    0.199
Cp_076_6    0.001    0.767    0.067    0.166
Cp_076_7    0.001    0.767    0.076    0.157
Cp_080_0    0.001    0.800    0.000    0.199
Cp_080_3    0.001    0.800    0.033    0.166
Cp_080_6    0.001    0.800    0.067    0.133
Cp_080_7    0.001    0.800    0.076    0.123
Cp_083_0    0.001    0.833    0.000    0.166
Cp_083_3    0.001    0.833    0.033    0.133
Cp_083_6    0.001    0.833    0.067    0.099
Cp_083_7    0.001    0.833    0.076    0.090
Cp_086_0    0.001    0.867    0.000    0.133
Cp_086_3    0.001    0.867    0.033    0.099
Cp_086_6    0.001    0.867    0.067    0.066
Cp_086_7    0.001    0.867    0.076    0.057
Cp_089_0    0.001    0.900    0.000    0.099
Cp_089_3    0.001    0.900    0.033    0.066
Cp_089_6    0.001    0.900    0.067    0.033
Cp_089_7    0.001    0.900    0.076    0.023
Cp_093_0    0.001    0.933    0.000    0.066
Cp_093_3    0.001    0.933    0.033    0.033
Cp_093_6    0.001    0.933    0.066    0.000
Cp_093_0    0.001    0.934    0.000    0.066
Cp_093_3    0.001    0.934    0.033    0.032
Cp_093_6    0.001    0.934    0.066    0.000
Cp_0_0_0    0.002    0.000    0.000    0.998
Cp_0_0_3    0.002    0.000    0.033    0.965
Cp_0_0_6    0.002    0.000    0.067    0.932
Cp_0_0_7    0.002    0.000    0.076    0.923
Cp_0_3_0    0.002    0.033    0.000    0.965
Cp_0_3_3    0.002    0.033    0.033    0.932
Cp_0_3_6    0.002    0.033    0.067    0.898
Cp_0_3_7    0.002    0.033    0.076    0.889
Cp_0_6_0    0.002    0.067    0.000    0.932
Cp_0_6_3    0.002    0.067    0.033    0.898
Cp_0_6_6    0.002    0.067    0.067    0.865
Cp_0_6_7    0.002    0.067    0.076    0.856
Cp_010_0    0.002    0.100    0.000    0.898
Cp_010_3    0.002    0.100    0.033    0.865
Cp_010_6    0.002    0.100    0.067    0.832
Cp_010_7    0.002    0.100    0.076    0.823
Cp_013_0    0.002    0.133    0.000    0.865
Cp_013_3    0.002    0.133    0.033    0.832
Cp_013_6    0.002    0.133    0.067    0.798
Cp_013_7    0.002    0.133    0.076    0.789
Cp_016_0    0.002    0.167    0.000    0.832
Cp_016_3    0.002    0.167    0.033    0.798
Cp_016_6    0.002    0.167    0.067    0.765
Cp_016_7    0.002    0.167    0.076    0.756
Cp_020_0    0.002    0.200    0.000    0.798
Cp_020_3    0.002    0.200    0.033    0.765
Cp_020_6    0.002    0.200    0.067    0.732
Cp_020_7    0.002    0.200    0.076    0.723
Cp_023_0    0.002    0.233    0.000    0.765
Cp_023_3    0.002    0.233    0.033    0.732
Cp_023_6    0.002    0.233    0.067    0.698
Cp_023_7    0.002    0.233    0.076    0.689
Cp_026_0    0.002    0.267    0.000    0.732
Cp_026_3    0.002    0.267    0.033    0.698
Cp_026_6    0.002    0.267    0.067    0.665
Cp_026_7    0.002    0.267    0.076    0.656
Cp_030_0    0.002    0.300    0.000    0.698
Cp_030_3    0.002    0.300    0.033    0.665
Cp_030_6    0.002    0.300    0.067    0.632
Cp_030_7    0.002    0.300    0.076    0.623
Cp_033_0    0.002    0.333    0.000    0.665
Cp_033_3    0.002    0.333    0.033    0.632
Cp_033_6    0.002    0.333    0.067    0.598
Cp_033_7    0.002    0.333    0.076    0.589
Cp_036_0    0.002    0.367    0.000    0.632
Cp_036_3    0.002    0.367    0.033    0.598
Cp_036_6    0.002    0.367    0.067    0.565
Cp_036_7    0.002    0.367    0.076    0.556
Cp_040_0    0.002    0.400    0.000    0.598
Cp_040_3    0.002    0.400    0.033    0.565
Cp_040_6    0.002    0.400    0.067    0.532
Cp_040_7    0.002    0.400    0.076    0.523
Cp_043_0    0.002    0.433    0.000    0.565
Cp_043_3    0.002    0.433    0.033    0.532
Cp_043_6    0.002    0.433    0.067    0.498
Cp_043_7    0.002    0.433    0.076    0.489
Cp_046_0    0.002    0.467    0.000    0.532
Cp_046_3    0.002    0.467    0.033    0.498
Cp_046_6    0.002    0.467    0.067    0.465
Cp_046_7    0.002    0.467    0.076    0.456
Cp_049_0    0.002    0.500    0.000    0.498
Cp_049_3    0.002    0.500    0.033    0.465
Cp_049_6    0.002    0.500    0.067    0.432
Cp_049_7    0.002    0.500    0.076    0.423
Cp_053_0    0.002    0.533    0.000    0.465
Cp_053_3    0.002    0.533    0.033    0.432
Cp_053_6    0.002    0.533    0.067    0.398
Cp_053_7    0.002    0.533    0.076    0.389
Cp_056_0    0.002    0.567    0.000    0.432
Cp_056_3    0.002    0.567    0.033    0.398
Cp_056_6    0.002    0.567    0.067    0.365
Cp_056_7    0.002    0.567    0.076    0.356
Cp_060_0    0.002    0.600    0.000    0.398
Cp_060_3    0.002    0.600    0.033    0.365
Cp_060_6    0.002    0.600    0.067    0.332
Cp_060_7    0.002    0.600    0.076    0.323
Cp_063_0    0.002    0.633    0.000    0.365
Cp_063_3    0.002    0.633    0.033    0.332
Cp_063_6    0.002    0.633    0.067    0.298
Cp_063_7    0.002    0.633    0.076    0.289
Cp_066_0    0.002    0.667    0.000    0.332
Cp_066_3    0.002    0.667    0.033    0.298
Cp_066_6    0.002    0.667    0.067    0.265
Cp_066_7    0.002    0.667    0.076    0.256
Cp_070_0    0.002    0.700    0.000    0.298
Cp_070_3    0.002    0.700    0.033    0.265
Cp_070_6    0.002    0.700    0.067    0.232
