
Solution: Pl(h)     
            Endmember fractions:
            abh      an      
ab4         0.049    0.951
ab8         0.082    0.918
ab11        0.114    0.886
ab14        0.147    0.853
ab17        0.180    0.820
ab21        0.212    0.788
ab24        0.245    0.755
ab25        0.253    0.747

Solution: O(HP)     
            Endmember fractions:
            fo       fa      
fo89        0.890    0.110
fo92        0.923    0.077
fo95        0.956    0.044
fo98.9      0.989    0.011
fo99.1      0.991    0.009

Solution: Sp(HP)    
            Endmember fractions:
            sp       herc    
sp68        0.681    0.319
sp71        0.714    0.286
sp74        0.747    0.253
sp78        0.780    0.220
sp81        0.813    0.187
sp81        0.819    0.181

Solution: Opx(HP)   
            Endmember fractions:
            mgts     en       fs       * see footnotes 1 & 2
Op89__0     0.000    0.893    0.107
Op92__0     0.000    0.926    0.074
Op94__0     0.000    0.942    0.058
Op89__3     0.033    0.860    0.103
Op92__3     0.033    0.893    0.071
Op94__3     0.033    0.909    0.056
Op89__6     0.066    0.827    0.100
Op92__6     0.066    0.860    0.069
Op94__6     0.066    0.876    0.054
Op89__9     0.100    0.794    0.096
Op92__9     0.100    0.827    0.066
Op94__9     0.100    0.843    0.052
Op89_13     0.133    0.761    0.093
Op92_13     0.133    0.794    0.064
Op94_13     0.133    0.809    0.050
Op89_14     0.148    0.746    0.091
Op92_14     0.148    0.779    0.063
Op94_14     0.148    0.794    0.049

1 - Although the bulk composition of pseudocompounds for this solution is fixed,
 the proportions of its endmembers may vary due to respeciation.


2 - Proportions output here may sum to <1 because the ordered species
may have non-zero initial proportions.


Solution: Cpx(HP)   
            Endmember fractions:
            cats     jd       hed      di      
Cp_063_6    0.001    0.633    0.067    0.299
Cp_063_6    0.001    0.633    0.070    0.296
Cp_066_0    0.001    0.667    0.000    0.333
Cp_066_3    0.001    0.667    0.033    0.299
Cp_066_6    0.001    0.667    0.067    0.266
Cp_066_6    0.001    0.667    0.070    0.263
Cp_070_0    0.001    0.700    0.000    0.299
Cp_070_3    0.001    0.700    0.033    0.266
Cp_070_6    0.001    0.700    0.067    0.233
Cp_070_6    0.001    0.700    0.070    0.230
Cp_073_0    0.001    0.733    0.000    0.266
Cp_073_3    0.001    0.733    0.033    0.233
Cp_073_6    0.001    0.733    0.067    0.199
Cp_073_6    0.001    0.733    0.070    0.196
Cp_076_0    0.001    0.767    0.000    0.233
Cp_076_3    0.001    0.767    0.033    0.199
Cp_076_6    0.001    0.767    0.067    0.166
Cp_076_6    0.001    0.767    0.070    0.163
Cp_080_0    0.001    0.800    0.000    0.199
Cp_080_3    0.001    0.800    0.033    0.166
Cp_080_6    0.001    0.800    0.067    0.133
Cp_080_6    0.001    0.800    0.070    0.130
Cp_083_0    0.001    0.833    0.000    0.166
Cp_083_3    0.001    0.833    0.033    0.133
Cp_083_6    0.001    0.833    0.067    0.099
Cp_083_6    0.001    0.833    0.070    0.096
Cp_086_0    0.001    0.867    0.000    0.133
Cp_086_3    0.001    0.867    0.033    0.099
Cp_086_6    0.001    0.867    0.067    0.066
Cp_086_6    0.001    0.867    0.070    0.063
Cp_089_0    0.001    0.900    0.000    0.099
Cp_089_3    0.001    0.900    0.033    0.066
Cp_089_6    0.001    0.900    0.067    0.033
Cp_089_6    0.001    0.900    0.070    0.030
Cp_093_0    0.001    0.933    0.000    0.066
Cp_093_3    0.001    0.933    0.033    0.033
Cp_093_6    0.001    0.933    0.066    0.000
Cp_093_0    0.001    0.934    0.000    0.066
Cp_093_3    0.001    0.934    0.033    0.032
Cp_093_6    0.001    0.934    0.066    0.000
Cp_0_0_0    0.002    0.000    0.000    0.998
Cp_0_0_3    0.002    0.000    0.033    0.965
Cp_0_0_6    0.002    0.000    0.067    0.932
Cp_0_0_6    0.002    0.000    0.070    0.929
Cp_0_3_0    0.002    0.033    0.000    0.965
Cp_0_3_3    0.002    0.033    0.033    0.932
Cp_0_3_6    0.002    0.033    0.067    0.898
Cp_0_3_6    0.002    0.033    0.070    0.896
Cp_0_6_0    0.002    0.067    0.000    0.932
Cp_0_6_3    0.002    0.067    0.033    0.898
Cp_0_6_6    0.002    0.067    0.067    0.865
Cp_0_6_6    0.002    0.067    0.070    0.862
Cp_010_0    0.002    0.100    0.000    0.898
Cp_010_3    0.002    0.100    0.033    0.865
Cp_010_6    0.002    0.100    0.067    0.832
Cp_010_6    0.002    0.100    0.070    0.829
